AboutActivity.java saved 	AboutActivity.java saved 
content context 	content context 
android 	android 
content dialog 	content dialog 
android content 	android content 
intent 	intent 
android net 	android net 
uri android 	uri android 
support 	support 
design widget 	design widget 
snackbar android 	snackbar android 
support 	support 
app alert 	app alert 
dialog 	dialog 
android log 	android log 
android view 	android view 
view 	view 
xiecc see 	xiecc see 
weather component 	weather component 
retrofit 	retrofit 
singleton xiecc 	singleton xiecc 
see weather 	see weather 
modules 	modules 
domain setting 	domain setting 
xiecc see 	xiecc see 
weather 	weather 
modules domain 	modules domain 
version 	version 
api xiecc 	api xiecc 
see weather 	see weather 
modules 	modules 
main activity 	main activity 
observer android 	observer android 
schedulers 	schedulers 
android schedulers 	android schedulers 
schedulers schedulers 	schedulers schedulers 
android 	android 
content context 	content context 
android content 	android content 
dialog 	dialog 
android content 	android content 
intent 	intent 
android net 	android net 
uri android 	uri android 
support 	support 
design widget 	design widget 
snackbar android 	snackbar android 
support 	support 
app alert 	app alert 
dialog android 	dialog android 
log 	log 
android view 	android view 
view 	view 
xiecc see 	xiecc see 
weather component 	weather component 
retrofit 	retrofit 
singleton xiecc 	singleton xiecc 
see weather 	see weather 
modules 	modules 
domain setting 	domain setting 
xiecc see 	xiecc see 
weather 	weather 
modules domain 	modules domain 
version api 	version api 
xiecc 	xiecc 
see weather 	see weather 
modules 	modules 
main activity 	main activity 
observer android 	observer android 
schedulers 	schedulers 
android schedulers 	android schedulers 
schedulers schedulers 	schedulers schedulers 
android 	android 
content context 	content context 
android content 	android content 
dialog 	dialog 
android content 	android content 
intent android 	intent android 
net 	net 
uri android 	uri android 
support 	support 
design widget 	design widget 
snackbar android 	snackbar android 
support 	support 
app alert 	app alert 
dialog android 	dialog android 
log 	log 
android view 	android view 
view xiecc 	view xiecc 
see 	see 
weather component 	weather component 
retrofit singleton 	retrofit singleton 
xiecc 	xiecc 
see weather 	see weather 
modules 	modules 
domain setting 	domain setting 
xiecc see 	xiecc see 
weather 	weather 
modules domain 	modules domain 
version api 	version api 
xiecc 	xiecc 
see weather 	see weather 
modules main 	modules main 
activity 	activity 
observer android 	observer android 
schedulers android 	schedulers android 
schedulers 	schedulers 
schedulers schedulers 	schedulers schedulers 
android 	android 
content context 	content context 
android content 	android content 
dialog 	dialog 
android content 	android content 
intent android 	intent android 
net 	net 
uri android 	uri android 
support design 	support design 
widget 	widget 
snackbar android 	snackbar android 
support app 	support app 
alert 	alert 
dialog android 	dialog android 
log 	log 
android view 	android view 
view xiecc 	view xiecc 
see 	see 
weather component 	weather component 
retrofit singleton 	retrofit singleton 
xiecc 	xiecc 
see weather 	see weather 
modules domain 	modules domain 
setting 	setting 
xiecc see 	xiecc see 
weather modules 	weather modules 
domain 	domain 
version api 	version api 
xiecc 	xiecc 
see weather 	see weather 
modules main 	modules main 
activity 	activity 
observer android 	observer android 
schedulers android 	schedulers android 
schedulers 	schedulers 
schedulers schedulers 	schedulers schedulers 
android content 	android content 
context 	context 
android content 	android content 
dialog android 	dialog android 
content 	content 
intent android 	intent android 
net 	net 
uri android 	uri android 
support design 	support design 
widget 	widget 
snackbar android 	snackbar android 
support app 	support app 
alert 	alert 
dialog android 	dialog android 
log android 	log android 
view 	view 
view xiecc 	view xiecc 
see weather 	see weather 
component 	component 
retrofit singleton 	retrofit singleton 
xiecc 	xiecc 
see weather 	see weather 
modules domain 	modules domain 
setting 	setting 
xiecc see 	xiecc see 
weather modules 	weather modules 
domain 	domain 
version api 	version api 
xiecc see 	xiecc see 
weather 	weather 
modules main 	modules main 
activity observer 	activity observer 
android 	android 
schedulers android 	schedulers android 
schedulers 	schedulers 
schedulers schedulers 	schedulers schedulers 
android content 	android content 
context 	context 
android content 	android content 
dialog android 	dialog android 
content 	content 
intent android 	intent android 
net uri 	net uri 
android 	android 
support design 	support design 
widget snackbar 	widget snackbar 
android 	android 
support app 	support app 
alert 	alert 
dialog android 	dialog android 
log android 	log android 
view 	view 
view xiecc 	view xiecc 
see weather 	see weather 
component 	component 
retrofit singleton 	retrofit singleton 
xiecc see 	xiecc see 
weather 	weather 
modules domain 	modules domain 
setting xiecc 	setting xiecc 
see 	see 
weather modules 	weather modules 
domain 	domain 
version api 	version api 
xiecc see 	xiecc see 
weather 	weather 
modules main 	modules main 
activity observer 	activity observer 
android 	android 
schedulers android 	schedulers android 
schedulers schedulers 	schedulers schedulers 
schedulers 	schedulers 
android content 	android content 
context android 	context android 
content 	content 
dialog android 	dialog android 
content 	content 
intent android 	intent android 
net uri 	net uri 
android 	android 
support design 	support design 
widget snackbar 	widget snackbar 
android 	android 
support app 	support app 
alert dialog 	alert dialog 
android 	android 
log android 	log android 
view view 	view view 
xiecc 	xiecc 
see weather 	see weather 
component 	component 
retrofit singleton 	retrofit singleton 
xiecc see 	xiecc see 
weather 	weather 
modules domain 	modules domain 
setting xiecc 	setting xiecc 
see 	see 
weather modules 	weather modules 
domain version 	domain version 
api 	api 
xiecc see 	xiecc see 
weather modules 	weather modules 
main 	main 
activity observer 	activity observer 
android 	android 
schedulers android 	schedulers android 
schedulers schedulers 	schedulers schedulers 
schedulers 	schedulers 
android content 	android content 
context android 	context android 
content 	content 
dialog android 	dialog android 
content intent 	content intent 
android 	android 
net uri 	net uri 
android support 	android support 
design 	design 
widget snackbar 	widget snackbar 
android 	android 
support app 	support app 
alert dialog 	alert dialog 
android 	android 
log android 	log android 
view view 	view view 
xiecc 	xiecc 
see weather 	see weather 
component retrofit 	component retrofit 
singleton 	singleton 
xiecc see 	xiecc see 
weather modules 	weather modules 
domain 	domain 
setting xiecc 	setting xiecc 
see 	see 
weather modules 	weather modules 
domain version 	domain version 
api 	api 
xiecc see 	xiecc see 
weather modules 	weather modules 
main 	main 
activity observer 	activity observer 
android schedulers 	android schedulers 
android 	android 
schedulers schedulers 	schedulers schedulers 
schedulers android 	schedulers android 
content 	content 
context android 	context android 
content 	content 
dialog android 	dialog android 
content intent 	content intent 
android 	android 
net uri 	net uri 
android support 	android support 
design 	design 
widget snackbar 	widget snackbar 
android support 	android support 
app 	app 
alert dialog 	alert dialog 
android log 	android log 
android 	android 
view view 	view view 
xiecc 	xiecc 
see weather 	see weather 
component retrofit 	component retrofit 
singleton 	singleton 
xiecc see 	xiecc see 
weather modules 	weather modules 
domain 	domain 
setting xiecc 	setting xiecc 
see weather 	see weather 
modules 	modules 
domain version 	domain version 
api xiecc 	api xiecc 
see 	see 
weather modules 	weather modules 
main 	main 
activity observer 	activity observer 
android schedulers 	android schedulers 
android 	android 
schedulers schedulers 	schedulers schedulers 
schedulers android 	schedulers android 
content 	content 
context android 	context android 
content dialog 	content dialog 
android 	android 
content intent 	content intent 
android net 	android net 
uri 	uri 
android support 	android support 
design 	design 
widget snackbar 	widget snackbar 
android support 	android support 
app 	app 
alert dialog 	alert dialog 
android log 	android log 
android 	android 
view view 	view view 
xiecc see 	xiecc see 
weather 	weather 
component retrofit 	component retrofit 
singleton xiecc 	singleton xiecc 
see 	see 
weather modules 	weather modules 
domain 	domain 
setting xiecc 	setting xiecc 
see weather 	see weather 
modules 	modules 
domain version 	domain version 
api xiecc 	api xiecc 
see 	see 
weather modules 	weather modules 
main activity 	main activity 
observer 	observer 
android schedulers 	android schedulers 
android schedulers 	android schedulers 
schedulers 	schedulers 
schedulers simple 	schedulers simple 
name 	name 
api service 	api service 
version api 	version api 
subscribe 	subscribe 
observe main 	observe main 
subscribe builder 	subscribe builder 
title 	title 
message positive 	message positive 
button show 	button show 
created 	created 
hugo version 	hugo version 
code 	code 
version name 	version name 
version version 	version version 
version 	version 
name action 	name action 
uri activity 	uri activity 
ChoiceCityActivity.java 	ChoiceCityActivity.java 
tag recycler 	tag recycler 
view progress 	view progress 
bar 	bar 
manager weather 	manager weather 
collapsing toolbar 	collapsing toolbar 
layout 	layout 
data list 	data list 
selected 	selected 
province selected 	province selected 
city provinces 	city provinces 
list 	list 
city list 	city list 
adapter level 	adapter level 
province 	province 
level city 	level city 
current level 	current level 
saved 	saved 
instance state 	instance state 
bannner observer 	bannner observer 
observer 	observer 
key code 	key code 
intent 	intent 
bundle collapsing 	bundle collapsing 
toolbar layout 	toolbar layout 
context 	context 
compat content 	compat content 
loading progress 	loading progress 
bar 	bar 
linear layout 	linear layout 
manager recycler 	manager recycler 
view 	view 
toolbar log 	toolbar log 
key view 	key view 
image 	image 
view progress 	view progress 
bar 	bar 
glide disk 	glide disk 
cache strategy 	cache strategy 
activity 	activity 
log city 	log city 
adapter manager 	adapter manager 
weather 	weather 
city province 	city province 
setting list 	setting list 
list 	list 
time unit 	time unit 
observable observer 	observable observer 
subscriber 	subscriber 
android schedulers 	android schedulers 
func 	func 
func schedulers 	func schedulers 
android content 	android content 
intent 	intent 
android bundle 	android bundle 
android support 	android support 
design 	design 
widget collapsing 	widget collapsing 
toolbar layout 	toolbar layout 
android 	android 
support content 	support content 
context compat 	context compat 
android 	android 
support widget 	support widget 
content 	content 
loading progress 	loading progress 
bar android 	bar android 
support 	support 
widget linear 	widget linear 
layout manager 	layout manager 
android 	android 
support widget 	support widget 
recycler view 	recycler view 
android 	android 
support widget 	support widget 
toolbar android 	toolbar android 
log 	log 
android view 	android view 
key 	key 
android view 	android view 
view android 	view android 
widget 	widget 
image view 	image view 
android widget 	android widget 
progress 	progress 
bar bumptech 	bar bumptech 
glide glide 	glide glide 
bumptech 	bumptech 
glide load 	glide load 
engine disk 	engine disk 
cache 	cache 
strategy xiecc 	strategy xiecc 
see 	see 
weather xiecc 	weather xiecc 
see weather 	see weather 
activity 	activity 
xiecc see 	xiecc see 
weather common 	weather common 
log 	log 
xiecc see 	xiecc see 
weather modules 	weather modules 
adatper 	adatper 
city adapter 	city adapter 
xiecc see 	xiecc see 
weather 	weather 
modules manager 	modules manager 
xiecc 	xiecc 
see weather 	see weather 
modules weather 	modules weather 
xiecc 	xiecc 
see weather 	see weather 
modules domain 	modules domain 
city 	city 
xiecc see 	xiecc see 
weather modules 	weather modules 
domain 	domain 
province xiecc 	province xiecc 
see weather 	see weather 
modules 	modules 
domain setting 	domain setting 
list 	list 
list concurrent 	list concurrent 
time unit 	time unit 
observable 	observable 
observer subscriber 	observer subscriber 
android schedulers 	android schedulers 
android 	android 
schedulers functions 	schedulers functions 
func functions 	func functions 
func 	func 
schedulers schedulers 	schedulers schedulers 
android content 	android content 
intent 	intent 
android bundle 	android bundle 
android 	android 
support design 	support design 
widget collapsing 	widget collapsing 
toolbar 	toolbar 
layout android 	layout android 
support content 	support content 
context 	context 
compat android 	compat android 
support widget 	support widget 
content 	content 
loading progress 	loading progress 
bar android 	bar android 
support 	support 
widget linear 	widget linear 
layout 	layout 
manager android 	manager android 
support widget 	support widget 
recycler 	recycler 
view android 	view android 
support widget 	support widget 
toolbar 	toolbar 
android log 	android log 
android view 	android view 
key 	key 
android view 	android view 
view android 	view android 
widget 	widget 
image view 	image view 
android 	android 
widget progress 	widget progress 
bar bumptech 	bar bumptech 
glide 	glide 
glide bumptech 	glide bumptech 
glide load 	glide load 
engine 	engine 
disk cache 	disk cache 
strategy xiecc 	strategy xiecc 
see 	see 
weather xiecc 	weather xiecc 
see weather 	see weather 
activity 	activity 
xiecc see 	xiecc see 
weather 	weather 
common log 	common log 
xiecc see 	xiecc see 
weather 	weather 
modules adatper 	modules adatper 
city adapter 	city adapter 
xiecc 	xiecc 
see weather 	see weather 
modules manager 	modules manager 
xiecc 	xiecc 
see weather 	see weather 
modules weather 	modules weather 
xiecc 	xiecc 
see weather 	see weather 
modules 	modules 
domain city 	domain city 
xiecc see 	xiecc see 
weather 	weather 
modules domain 	modules domain 
province xiecc 	province xiecc 
see 	see 
weather modules 	weather modules 
domain setting 	domain setting 
list 	list 
list concurrent 	list concurrent 
time unit 	time unit 
observable 	observable 
observer subscriber 	observer subscriber 
android 	android 
schedulers android 	schedulers android 
schedulers functions 	schedulers functions 
func 	func 
functions func 	functions func 
schedulers schedulers 	schedulers schedulers 
android 	android 
content intent 	content intent 
android bundle 	android bundle 
android 	android 
support design 	support design 
widget collapsing 	widget collapsing 
toolbar 	toolbar 
layout android 	layout android 
support 	support 
content context 	content context 
compat android 	compat android 
support 	support 
widget content 	widget content 
loading progress 	loading progress 
bar 	bar 
android support 	android support 
widget linear 	widget linear 
layout 	layout 
manager android 	manager android 
support widget 	support widget 
recycler 	recycler 
view android 	view android 
support 	support 
widget toolbar 	widget toolbar 
android log 	android log 
android 	android 
view key 	view key 
android view 	android view 
view 	view 
android widget 	android widget 
image view 	image view 
android 	android 
widget progress 	widget progress 
bar bumptech 	bar bumptech 
glide 	glide 
glide bumptech 	glide bumptech 
glide 	glide 
load engine 	load engine 
disk cache 	disk cache 
strategy 	strategy 
xiecc see 	xiecc see 
weather xiecc 	weather xiecc 
see 	see 
weather activity 	weather activity 
xiecc see 	xiecc see 
weather 	weather 
common log 	common log 
xiecc see 	xiecc see 
weather 	weather 
modules adatper 	modules adatper 
city 	city 
adapter xiecc 	adapter xiecc 
see weather 	see weather 
modules 	modules 
manager xiecc 	manager xiecc 
see weather 	see weather 
modules 	modules 
weather xiecc 	weather xiecc 
see weather 	see weather 
modules 	modules 
domain city 	domain city 
xiecc see 	xiecc see 
weather 	weather 
modules domain 	modules domain 
province 	province 
xiecc see 	xiecc see 
weather modules 	weather modules 
domain 	domain 
setting list 	setting list 
list concurrent 	list concurrent 
time 	time 
unit observable 	unit observable 
observer subscriber 	observer subscriber 
android 	android 
schedulers android 	schedulers android 
schedulers functions 	schedulers functions 
func 	func 
functions func 	functions func 
schedulers 	schedulers 
schedulers android 	schedulers android 
content intent 	content intent 
android 	android 
bundle android 	bundle android 
support design 	support design 
widget 	widget 
collapsing toolbar 	collapsing toolbar 
layout android 	layout android 
support 	support 
content context 	content context 
compat 	compat 
android support 	android support 
widget content 	widget content 
loading 	loading 
progress bar 	progress bar 
android support 	android support 
widget 	widget 
linear layout 	linear layout 
manager android 	manager android 
support 	support 
widget recycler 	widget recycler 
view android 	view android 
support 	support 
widget toolbar 	widget toolbar 
android 	android 
log android 	log android 
view key 	view key 
android 	android 
view view 	view view 
android widget 	android widget 
image 	image 
view android 	view android 
widget progress 	widget progress 
bar 	bar 
bumptech glide 	bumptech glide 
glide bumptech 	glide bumptech 
glide 	glide 
load engine 	load engine 
disk 	disk 
cache strategy 	cache strategy 
xiecc see 	xiecc see 
weather 	weather 
xiecc see 	xiecc see 
weather activity 	weather activity 
xiecc 	xiecc 
see weather 	see weather 
common log 	common log 
xiecc 	xiecc 
see weather 	see weather 
modules adatper 	modules adatper 
city 	city 
adapter xiecc 	adapter xiecc 
see 	see 
weather modules 	weather modules 
manager xiecc 	manager xiecc 
see 	see 
weather modules 	weather modules 
weather xiecc 	weather xiecc 
see 	see 
weather modules 	weather modules 
domain city 	domain city 
xiecc 	xiecc 
see weather 	see weather 
modules domain 	modules domain 
province 	province 
xiecc see 	xiecc see 
weather 	weather 
modules domain 	modules domain 
setting list 	setting list 
list 	list 
concurrent time 	concurrent time 
unit observable 	unit observable 
observer 	observer 
subscriber android 	subscriber android 
schedulers android 	schedulers android 
schedulers 	schedulers 
functions func 	functions func 
functions func 	functions func 
schedulers 	schedulers 
schedulers android 	schedulers android 
content 	content 
intent android 	intent android 
bundle android 	bundle android 
support 	support 
design widget 	design widget 
collapsing toolbar 	collapsing toolbar 
layout 	layout 
android support 	android support 
content context 	content context 
compat 	compat 
android support 	android support 
widget content 	widget content 
loading 	loading 
progress bar 	progress bar 
android 	android 
support widget 	support widget 
linear layout 	linear layout 
manager 	manager 
android support 	android support 
widget recycler 	widget recycler 
view 	view 
android support 	android support 
widget toolbar 	widget toolbar 
android 	android 
log android 	log android 
view key 	view key 
android 	android 
view view 	view view 
android 	android 
widget image 	widget image 
view android 	view android 
widget 	widget 
progress bar 	progress bar 
bumptech glide 	bumptech glide 
glide 	glide 
bumptech glide 	bumptech glide 
load engine 	load engine 
disk 	disk 
cache strategy 	cache strategy 
xiecc see 	xiecc see 
weather 	weather 
xiecc see 	xiecc see 
weather 	weather 
activity xiecc 	activity xiecc 
see weather 	see weather 
common 	common 
log xiecc 	log xiecc 
see weather 	see weather 
modules 	modules 
adatper city 	adatper city 
adapter xiecc 	adapter xiecc 
see 	see 
weather modules 	weather modules 
manager xiecc 	manager xiecc 
see 	see 
weather modules 	weather modules 
weather 	weather 
xiecc see 	xiecc see 
weather modules 	weather modules 
domain 	domain 
city xiecc 	city xiecc 
see weather 	see weather 
modules 	modules 
domain province 	domain province 
xiecc see 	xiecc see 
weather 	weather 
modules domain 	modules domain 
setting list 	setting list 
list 	list 
concurrent time 	concurrent time 
unit 	unit 
observable observer 	observable observer 
subscriber android 	subscriber android 
schedulers 	schedulers 
android schedulers 	android schedulers 
functions func 	functions func 
functions 	functions 
func schedulers 	func schedulers 
schedulers android 	schedulers android 
content 	content 
intent android 	intent android 
bundle android 	bundle android 
support 	support 
design widget 	design widget 
collapsing 	collapsing 
toolbar layout 	toolbar layout 
android support 	android support 
content 	content 
context compat 	context compat 
android support 	android support 
widget 	widget 
content loading 	content loading 
progress bar 	progress bar 
android 	android 
support widget 	support widget 
linear layout 	linear layout 
manager 	manager 
android support 	android support 
widget 	widget 
recycler view 	recycler view 
android support 	android support 
widget 	widget 
toolbar android 	toolbar android 
log android 	log android 
view 	view 
key android 	key android 
view view 	view view 
android 	android 
widget image 	widget image 
view android 	view android 
widget 	widget 
progress bar 	progress bar 
bumptech 	bumptech 
glide glide 	glide glide 
bumptech glide 	bumptech glide 
load 	load 
engine disk 	engine disk 
cache strategy 	cache strategy 
xiecc 	xiecc 
see weather 	see weather 
xiecc see 	xiecc see 
weather 	weather 
activity xiecc 	activity xiecc 
see weather 	see weather 
common 	common 
log xiecc 	log xiecc 
see 	see 
weather modules 	weather modules 
adatper city 	adatper city 
adapter 	adapter 
xiecc see 	xiecc see 
weather modules 	weather modules 
manager 	manager 
xiecc see 	xiecc see 
weather modules 	weather modules 
weather 	weather 
xiecc see 	xiecc see 
weather modules 	weather modules 
domain 	domain 
city xiecc 	city xiecc 
see 	see 
weather modules 	weather modules 
domain province 	domain province 
xiecc 	xiecc 
see weather 	see weather 
modules domain 	modules domain 
setting 	setting 
list list 	list list 
concurrent time 	concurrent time 
unit 	unit 
observable observer 	observable observer 
subscriber android 	subscriber android 
schedulers 	schedulers 
android schedulers 	android schedulers 
functions 	functions 
func functions 	func functions 
func schedulers 	func schedulers 
schedulers 	schedulers 
android content 	android content 
intent android 	intent android 
bundle 	bundle 
android support 	android support 
design widget 	design widget 
collapsing 	collapsing 
toolbar layout 	toolbar layout 
android support 	android support 
content 	content 
context compat 	context compat 
android 	android 
support widget 	support widget 
content loading 	content loading 
progress 	progress 
bar android 	bar android 
support widget 	support widget 
linear 	linear 
layout manager 	layout manager 
android support 	android support 
widget 	widget 
recycler view 	recycler view 
android support 	android support 
widget 	widget 
toolbar android 	toolbar android 
log 	log 
android view 	android view 
key android 	key android 
view 	view 
view android 	view android 
widget image 	widget image 
view 	view 
android widget 	android widget 
progress bar 	progress bar 
bumptech 	bumptech 
glide glide 	glide glide 
bumptech glide 	bumptech glide 
load 	load 
engine disk 	engine disk 
cache 	cache 
strategy xiecc 	strategy xiecc 
see weather 	see weather 
xiecc 	xiecc 
see weather 	see weather 
activity xiecc 	activity xiecc 
see 	see 
weather common 	weather common 
log xiecc 	log xiecc 
see 	see 
weather modules 	weather modules 
adatper city 	adatper city 
adapter 	adapter 
xiecc see 	xiecc see 
weather 	weather 
modules manager 	modules manager 
xiecc see 	xiecc see 
weather 	weather 
modules weather 	modules weather 
xiecc see 	xiecc see 
weather 	weather 
modules domain 	modules domain 
city xiecc 	city xiecc 
see 	see 
weather modules 	weather modules 
domain province 	domain province 
xiecc 	xiecc 
see weather 	see weather 
modules 	modules 
domain setting 	domain setting 
list list 	list list 
concurrent 	concurrent 
time unit 	time unit 
observable observer 	observable observer 
subscriber 	subscriber 
android schedulers 	android schedulers 
android schedulers 	android schedulers 
functions 	functions 
func functions 	func functions 
func schedulers 	func schedulers 
schedulers 	schedulers 
android content 	android content 
intent 	intent 
android bundle 	android bundle 
android support 	android support 
design 	design 
widget collapsing 	widget collapsing 
toolbar layout 	toolbar layout 
android 	android 
support content 	support content 
context compat 	context compat 
android 	android 
support widget 	support widget 
content 	content 
loading progress 	loading progress 
bar android 	bar android 
support 	support 
widget linear 	widget linear 
layout manager 	layout manager 
android 	android 
support widget 	support widget 
recycler view 	recycler view 
android 	android 
support widget 	support widget 
toolbar android 	toolbar android 
log 	log 
android view 	android view 
key 	key 
android view 	android view 
view android 	view android 
widget 	widget 
image view 	image view 
android widget 	android widget 
progress 	progress 
bar bumptech 	bar bumptech 
glide glide 	glide glide 
bumptech 	bumptech 
glide load 	glide load 
engine disk 	engine disk 
cache 	cache 
strategy xiecc 	strategy xiecc 
see 	see 
weather xiecc 	weather xiecc 
see weather 	see weather 
activity 	activity 
xiecc see 	xiecc see 
weather common 	weather common 
log 	log 
xiecc see 	xiecc see 
weather modules 	weather modules 
adatper 	adatper 
city adapter 	city adapter 
xiecc see 	xiecc see 
weather 	weather 
modules manager 	modules manager 
xiecc 	xiecc 
see weather 	see weather 
modules weather 	modules weather 
xiecc 	xiecc 
see weather 	see weather 
modules domain 	modules domain 
city 	city 
xiecc see 	xiecc see 
weather modules 	weather modules 
domain 	domain 
province xiecc 	province xiecc 
see weather 	see weather 
modules 	modules 
domain setting 	domain setting 
list 	list 
list concurrent 	list concurrent 
time unit 	time unit 
observable 	observable 
observer subscriber 	observer subscriber 
android schedulers 	android schedulers 
android 	android 
schedulers functions 	schedulers functions 
func functions 	func functions 
func 	func 
schedulers schedulers 	schedulers schedulers 
android content 	android content 
intent 	intent 
android bundle 	android bundle 
android 	android 
support design 	support design 
widget collapsing 	widget collapsing 
toolbar 	toolbar 
layout android 	layout android 
support content 	support content 
context 	context 
compat android 	compat android 
support widget 	support widget 
content 	content 
loading progress 	loading progress 
bar android 	bar android 
support 	support 
widget linear 	widget linear 
layout 	layout 
manager android 	manager android 
support widget 	support widget 
recycler 	recycler 
view android 	view android 
support widget 	support widget 
toolbar 	toolbar 
android log 	android log 
android view 	android view 
key 	key 
android view 	android view 
view android 	view android 
widget 	widget 
image view 	image view 
android 	android 
widget progress 	widget progress 
bar bumptech 	bar bumptech 
glide 	glide 
glide bumptech 	glide bumptech 
glide load 	glide load 
engine 	engine 
disk cache 	disk cache 
strategy xiecc 	strategy xiecc 
see 	see 
weather xiecc 	weather xiecc 
see weather 	see weather 
activity 	activity 
xiecc see 	xiecc see 
weather 	weather 
common log 	common log 
xiecc see 	xiecc see 
weather 	weather 
modules adatper 	modules adatper 
city adapter 	city adapter 
xiecc 	xiecc 
see weather 	see weather 
modules manager 	modules manager 
xiecc 	xiecc 
see weather 	see weather 
modules weather 	modules weather 
xiecc 	xiecc 
see weather 	see weather 
modules 	modules 
domain city 	domain city 
xiecc see 	xiecc see 
weather 	weather 
modules domain 	modules domain 
province xiecc 	province xiecc 
see 	see 
weather modules 	weather modules 
domain setting 	domain setting 
list 	list 
list concurrent 	list concurrent 
time unit 	time unit 
observable 	observable 
observer subscriber 	observer subscriber 
android 	android 
schedulers android 	schedulers android 
schedulers functions 	schedulers functions 
func 	func 
functions func 	functions func 
schedulers schedulers 	schedulers schedulers 
android 	android 
content intent 	content intent 
android bundle 	android bundle 
android 	android 
support design 	support design 
widget collapsing 	widget collapsing 
toolbar 	toolbar 
layout android 	layout android 
support 	support 
content context 	content context 
compat android 	compat android 
support 	support 
widget content 	widget content 
loading progress 	loading progress 
bar 	bar 
android support 	android support 
widget linear 	widget linear 
layout 	layout 
manager android 	manager android 
support widget 	support widget 
recycler 	recycler 
view android 	view android 
support 	support 
widget toolbar 	widget toolbar 
android log 	android log 
android 	android 
view key 	view key 
android view 	android view 
view 	view 
android widget 	android widget 
image view 	image view 
android 	android 
widget progress 	widget progress 
bar bumptech 	bar bumptech 
glide 	glide 
glide bumptech 	glide bumptech 
glide 	glide 
load engine 	load engine 
disk cache 	disk cache 
strategy 	strategy 
xiecc see 	xiecc see 
weather xiecc 	weather xiecc 
see 	see 
weather activity 	weather activity 
xiecc see 	xiecc see 
weather 	weather 
common log 	common log 
xiecc see 	xiecc see 
weather 	weather 
modules adatper 	modules adatper 
city 	city 
adapter xiecc 	adapter xiecc 
see weather 	see weather 
modules 	modules 
manager xiecc 	manager xiecc 
see weather 	see weather 
modules 	modules 
weather xiecc 	weather xiecc 
see weather 	see weather 
modules 	modules 
domain city 	domain city 
xiecc see 	xiecc see 
weather 	weather 
modules domain 	modules domain 
province 	province 
xiecc see 	xiecc see 
weather modules 	weather modules 
domain 	domain 
setting list 	setting list 
list concurrent 	list concurrent 
time 	time 
unit observable 	unit observable 
observer subscriber 	observer subscriber 
android 	android 
schedulers android 	schedulers android 
schedulers functions 	schedulers functions 
func 	func 
functions func 	functions func 
schedulers 	schedulers 
schedulers android 	schedulers android 
content intent 	content intent 
android 	android 
bundle android 	bundle android 
support design 	support design 
widget 	widget 
collapsing toolbar 	collapsing toolbar 
layout android 	layout android 
support 	support 
content context 	content context 
compat android 	compat android 
support 	support 
widget content 	widget content 
loading 	loading 
progress bar 	progress bar 
android support 	android support 
widget 	widget 
linear layout 	linear layout 
manager android 	manager android 
support 	support 
widget recycler 	widget recycler 
view android 	view android 
support 	support 
widget toolbar 	widget toolbar 
android log 	android log 
android 	android 
view key 	view key 
android 	android 
view view 	view view 
android widget 	android widget 
image 	image 
view android 	view android 
widget progress 	widget progress 
bar 	bar 
bumptech glide 	bumptech glide 
glide bumptech 	glide bumptech 
glide 	glide 
load engine 	load engine 
disk cache 	disk cache 
strategy 	strategy 
xiecc see 	xiecc see 
weather 	weather 
xiecc see 	xiecc see 
weather activity 	weather activity 
xiecc 	xiecc 
see weather 	see weather 
common log 	common log 
xiecc 	xiecc 
see weather 	see weather 
modules adatper 	modules adatper 
city 	city 
adapter xiecc 	adapter xiecc 
see weather 	see weather 
modules 	modules 
manager xiecc 	manager xiecc 
see 	see 
weather modules 	weather modules 
weather xiecc 	weather xiecc 
see 	see 
weather modules 	weather modules 
domain city 	domain city 
xiecc 	xiecc 
see weather 	see weather 
modules domain 	modules domain 
province 	province 
xiecc see 	xiecc see 
weather modules 	weather modules 
domain 	domain 
setting list 	setting list 
list 	list 
concurrent time 	concurrent time 
unit observable 	unit observable 
observer 	observer 
subscriber android 	subscriber android 
schedulers android 	schedulers android 
schedulers 	schedulers 
functions func 	functions func 
functions func 	functions func 
schedulers 	schedulers 
schedulers android 	schedulers android 
content intent 	content intent 
android 	android 
bundle android 	bundle android 
support 	support 
design widget 	design widget 
collapsing toolbar 	collapsing toolbar 
layout 	layout 
android support 	android support 
content context 	content context 
compat 	compat 
android support 	android support 
widget content 	widget content 
loading 	loading 
progress bar 	progress bar 
android 	android 
support widget 	support widget 
linear layout 	linear layout 
manager 	manager 
android support 	android support 
widget recycler 	widget recycler 
view 	view 
android support 	android support 
widget toolbar 	widget toolbar 
android 	android 
log android 	log android 
view key 	view key 
android 	android 
view view 	view view 
android 	android 
widget image 	widget image 
view android 	view android 
widget 	widget 
progress bar 	progress bar 
bumptech glide 	bumptech glide 
glide 	glide 
bumptech glide 	bumptech glide 
load engine 	load engine 
disk 	disk 
cache strategy 	cache strategy 
xiecc see 	xiecc see 
weather 	weather 
xiecc see 	xiecc see 
weather 	weather 
activity xiecc 	activity xiecc 
see weather 	see weather 
common 	common 
log xiecc 	log xiecc 
see weather 	see weather 
modules 	modules 
adatper city 	adatper city 
adapter xiecc 	adapter xiecc 
see 	see 
weather modules 	weather modules 
manager xiecc 	manager xiecc 
see 	see 
weather modules 	weather modules 
weather 	weather 
xiecc see 	xiecc see 
weather modules 	weather modules 
domain 	domain 
