abspath.c path 	adlist.c list 
result line 	epoll create 
size patch fragment 	zfree zfree 
added deleted 	zrealloc close 
offset oldlines 	zfree 
newlines leading trailing 	zfree epoll 
line size 	ctl epoll 
patch offset context 	ctl epoll 
fragp fragment 	ctl epoll 
len patch data 	wait linux 
size inflated 	epoll 
size stream buf 	module copyright 
status used 	salvatore sanfilippo 
llen used size 	antirez gmail 
buffer patch 	dot rights 
method origlen data 	reserved redistribution 
hunk size 	use 
frag length max 	source binary 
length newsize 	forms without 
buffer size patch 	modification permitted 
forward reverse 	provided following 
status used used 	conditions met 
name old 	redistributions 
name limit 	source code 
name include name 	must retain 
exclude pathname 	copyright notice 
pathlen buffer size 	list conditions 
patch hdrsize 	following disclaimer 
patchsize offset git 	redistributions 
binary llen 	binary form 
used binhdr len 	must reproduce 
frag pluses 	copyright notice 
minuses patch qname 	list conditions 
max del 	following disclaimer 
total path buf 	documentation 
preimage postimage 	materials provided 
buf len postlen 	distribution neither 
ctx reduced 	name redis 
old preimage len 	names contributors 
img preimage 	may used 
postimage lno rule 	endorse 
match beginning 	promote products 
match end 	derived software 
buf buf orig 	without specific 
target len 	prior written 
postlen preimage limit 	permission software 
buf end 	provided 
imgoff preoff postlen 	copyright holders 
extra chars 	contributors express 
preimage eof preimage 	implied warranties 
end prelen 	including limited 
imglen oldlen tgtlen 	implied warranties 
fixstart tgtfix 	merchantability 
match fixstart oldlen 	fitness particular 
img preimage 	purpose disclaimed 
postimage line rule 	shall copyright 
match beginning 	owner contributors 
match end backwards 	liable direct 
forwards backwards 	indirect 
lno forwards lno 	incidental special 
lno img 	exemplary consequential 
img img 	damages including 
applied pos preimage 	limited procurement 
postimage count 	substitute goods 
insert count applied 	services 
result preimage 	loss use 
limit img frag 	data profits 
inaccurate eof 	business interruption 
rule nth fragment 	however caused 
match beginning 	theory liability 
match end patch 	whether 
size old 	contract strict 
oldlines newlines blank 	liability tort 
lines end 	including negligence 
found blank lines 	otherwise arising 
end hunk 	way use 
linenr leading trailing 	software 
pos applied 	even advised 
pos preimage 	possibility damage 
postimage first len 	hint kernel 
plen added 	already monitored 
blank line blank 	need mod 
context start 	operation 
offset img patch 	otherwise need 
fragment len 	operation merge 
dst img patch 	old events 
name sha 	avoid valgrind 
size result img 	warning avoid 
patch frag 	valgrind 
name rule inaccurate 	warning note 
eof nth 	kernel requires 
buf sha mode 	non pointer 
result buf 	even epoll 
name item patch 	ctl del 
patch patch 	ae 
item patch item 	evportc evport 
istate costate 	debug loop 
patch gone 	state loop 
previous buf name 	setsize loop 
expected mode 	state state 
image patch buf 	portfd 
len img 	mask events 
previous status image 	err loop 
path file 	mask state 
file file result 	fullmask pfd 
status image 	loop mask 
patch buf status 	state 
pos len 	fullmask pfd 
img name mode 	loop tvp 
image patch 	state timeout 
pre sha post 	tsp mask 
sha sha 	nevents zmalloc 
buf len status 	port 
img tmp 	create zfree 
image patch image 	close zfree 
patch old 	port associate 
name previous 	strerror strerror 
status mode pos 	api lookup 
name exists 	pending 
nst symlink changes 	api associate 
path ent 	api lookup 
path ent patch 	pending port 
name change 	dissociate perror 
name ret name 	abort api 
patch old 	associate 
name name patch 	abort api 
old name 	associate abort 
name name tpatch 	port getn 
exists status 	perror abort 
err patch err 	module illumos 
path sha 	ports 
pos sha hunk 	copyright joyent 
heading preimage 	inc rights 
list filename patch 	reserved redistribution 
result sha 	use source 
name patch 	binary forms 
files adds dels 	without 
patch name 	modification permitted 
newdelete mode name 	provided following 
show name 	conditions met 
renamecopy old slash 	redistributions source 
old slash 	code must 
patch patch lines 	retain 
len len 	copyright notice 
patch rmdir empty 	list conditions 
path mode 	following disclaimer 
buf size namelen 	redistributions binary 
size path 	form must 
mode buf size 	reproduce 
nbuf path 	copyright notice 
mode buf size 	list conditions 
newpath patch 	following disclaimer 
stage namelen 	documentation materials 
size mode patch 	provided distribution 
path mode 	neither 
size buf patch 	name redis 
phase patch 	names contributors 
rej namebuf frag 	may used 
cnt list 	endorse promote 
phase errs cpath 	products derived 
item file 	software 
filename options offset 	without specific 
buf listp 	prior written 
skipped patch patch 	permission software 
opt arg 	provided copyright 
unset opt arg 	holders contributors 
unset opt 	express 
arg unset opt 	implied warranties 
arg unset 	including limited 
opt arg unset 	implied warranties 
whitespace option 	merchantability fitness 
opt arg 	particular purpose 
unset argc argv 	disclaimed 
prefix errs 	shall copyright 
gitdir force apply 	owner contributors 
whitespace option 	liable direct 
builtin apply options 	indirect incidental 
arg squelched 	special exemplary 
strcmp strcmp strcmp 	consequential 
strcmp strcmp 	damages including 
strcmp die strcmp 	limited procurement 
strcmp strcmp 	substitute goods 
strcmp strcmp die 	services loss 
free free 	use data 
free fragment list 	profits 
free free 	business interruption 
free free free 	however caused 
free patch 	theory liability 
isspace isspace isspace 	whether contract 
isspace isspace 	strict liability 
isspace isspace 	tort 
isspace isspace alloc 	including negligence 
grow hash 	otherwise arising 
line memset line 	way use 
info free 	software even 
free memset strcmp 	advised possibility 
quote style 	damage 
strbuf addstr quote 	file api 
style quote 	ports present 
style fputc strbuf 	solaris systems 
release strbuf 	since solaris 
read die errno 	port associate 
strbuf grow 	file 
memset skip prefix 	descriptors port 
isspace unquote 	association also 
style strbuf release 	includes poll 
strchr strbuf 	events consumer 
release strbuf strbuf 	interested pollin 
insert squash 	pollout 
slash strbuf 	one tricky 
detach strlen strlen 	piece implementation 
strlen isdigit 	events via 
strlen strlen strlen 	api poll 
isdigit isdigit 	corresponding file 
isdigit isdigit strlen 	descriptors 
strlen strlen 	become dissociated 
isdigit isdigit isdigit 	port necessary 
isdigit isdigit 	poll events 
isdigit strlen isdigit 	level triggered 
isdigit strlen 	didn become 
strlen strlen strlen 	dissociated 
isdigit isdigit 	would immediately 
isdigit isdigit isdigit 	fire another 
isdigit isdigit 	since underlying 
isdigit time len 	state hasn 
isdigit sane 	changed yet 
len colon 	must 
len time len 	associate file 
fractional time 	descriptor know 
len date len 	caller actually 
trailing spaces 	read api 
len isspace name 	tell exactly 
terminate squash 	happens 
slash xstrdup squash 	know must 
slash xstrdup 	happen time 
strlen strncmp squash 	api poll 
slash xstrdup 	called solution 
xstrfmt squash slash 	keep track 
squash slash 	last 
xmemdupz find name 	fds returned 
gnu find 	api poll 
name common find 	associate next 
name gnu 	time api 
strchrnul diff timestamp 	poll invoked 
len find 	summarize 
name common 	module association 
find name common 	either represented 
dev find 	via kernel 
name traditional strchr 	association represented 
strncmp count 	pending fds 
slashes strncmp count 	pending 
slashes free 	masks last 
xmalloc regcomp warning 	fds returned 
regexec size 	api poll 
warning strtol strtol 	enter api 
memcmp memcmp 	poll point 
strtol strtol guess 	restore 
guess dev 	kernel association 
find name traditional 	port pending 
dev find 	fds pending 
name traditional find 	fds pending 
name traditional 	fds masks 
find name traditional 	nothing 
free epoch 	resize helper 
timestamp epoch 	function invoke 
timestamp xstrdup die 	port associate 
find name 	given mask 
strlen die find 	since port 
name memcmp 	associate 
die free memcmp 	events argument 
die gitdiff 	replaces existing 
verify name free 	events must 
gitdiff verify 	sure include 
name free strtoul 	whatever events 
strtoul free 	already 
xstrdup gitdiff oldmode 	associated call 
free xstrdup 	port associate 
gitdiff newmode free 	recently returned 
find name 	api poll 
free find name 	safe consumer 
free find 	processed 
name free find 	poll play 
name strtoul 	safer simply 
strtoul strchr 	updating pending 
memcpy strchr strchrnul 	mask associated 
memcpy strtoul 	usual api 
strlen strlen unquote 	poll 
style skip 	called returned 
prefix strbuf isspace 	api poll 
unquote style 	currently associated 
skip prefix strcmp 	port need 
strbuf release 	update pending 
strbuf detach skip 	mask 
prefix memcmp 	appropriately currently 
strbuf detach strbuf 	associated port 
release strbuf 	like must 
release skip prefix 	look full 
unquote style 	mask file 
skip prefix strncmp 	descriptor 
isspace strbuf 	updating association 
strbuf detach strbuf 	good way 
release strchr 	knowing events 
skip prefix 	without looking 
strncmp xmemdupz git 	loop state 
header name 	directly 
xstrfmt free linelen 	rely fact 
size strlen 	caller already 
memcmp isdigit strtoul 	updated mask 
parse num 	loop removing 
parse num strlen 	events use 
memcmp warning 	port 
linelen starts starts 	dissociate association 
warning linelen 	completely failure 
parse range parse 	indicates bug 
range linelen 	enomem potentially 
memcmp parse fragment 	condition kernel 
header die 	won 
memcmp parse git 	generally unless 
header die 	things really 
xstrdup xstrdup 	bad eagain 
die memcmp memcmp 	indicates reached 
linelen memcmp 	resource 
parse traditional patch 	limit doesn 
whitespace error 	make sense 
free check record 	retry counter 
error linelen 	intuitively errors 
parse fragment header 	indicate bug 
recount diff 	cases 
linelen check whitespace 	best abort 
check whitespace 	returned events 
check whitespace memcmp 	must associate 
memcmp linelen 	port calling 
error error memcmp 	port see 
xcalloc parse 	block 
fragment die die 	comment top 
die memset 	file explanation 
xmalloc git inflate 	since deleted 
init git 	see api 
inflate git 	del fatal 
inflate end free 	port 
linelen starts 	getn errno 
strtoul starts strtoul 	etime returned 
linelen xrealloc 	events etime 
decode xcalloc inflate 	check nevents 
free free 	error indicates 
error parse binary 	bug 
hunk error 	ae kqueuec 
parse binary hunk 	loop state 
free free 	loop setsize 
xstrdup prefix filename 	state loop 
free prefix 	state loop 
one prefix one 	mask 
list append 	state loop 
strlen memcmp wildmatch 	mask state 
find header 	loop tvp 
prefix patch use 	state retval 
patch whitespace 	numevents timeout 
rule parse 	mask 
single patch linelen 	zmalloc zmalloc 
memcmp parse 	zfree kqueue 
binary memcmp strlen 	zfree zfree 
memcmp metadata 	zrealloc close 
changes die swap 	zfree zfree 
swap swap 	kevent 
swap swap swap 	kevent kevent 
swap quote 	kevent kevent 
style strchr strbuf 	kevent kqueue 
splice strbuf 	module copyright 
release strbuf release 	harish mallipeddi 
strbuf readlink 	harish 
error strbuf read 	mallipeddi gmail 
file error 	rights reserved 
convert git prepare 	redistribution use 
image free 	source binary 
xmalloc memmove memcpy 	forms without 
die memcmp 	modification 
isspace fuzzy 	permitted provided 
matchlines isspace strbuf 	following conditions 
init strbuf 	met redistributions 
strbuf strbuf detach 	source code 
update pre 	must retain 
post images strbuf 	copyright 
init fix 	notice list 
copy strbuf init 	conditions following 
fix copy 	disclaimer redistributions 
memcmp strbuf release 	binary form 
fix copy 	must reproduce 
isspace strbuf detach 	copyright 
update pre 	notice list 
post images strbuf 	conditions following 
release match 	disclaimer documentation 
fragment xmalloc sub 	materials provided 
memcpy memcpy 	distribution neither 
memcpy free 	name 
realloc memmove memcpy 	redis names 
memset memset 	contributors may 
xmalloc strbuf init 	used endorse 
linelen strbuf 	promote products 
addch line info 	derived software 
line info 	without 
blank line memcpy 	specific prior 
line info 	written permission 
strbuf fix copy 	software provided 
line info 	copyright holders 
blank line error 	contributors express 
strbuf setlen 	implied 
find pos first 	warranties including 
line first 	limited implied 
line last line 	warranties merchantability 
last line 	fitness particular 
record error last 	purpose disclaimed 
line update 	shall 
image error 	copyright owner 
free strbuf release 	contributors liable 
free free 	direct indirect 
error error patch 	incidental special 
delta clear 	exemplary consequential 
image clear image 	damages 
xmemdupz strlen 	including limited 
strlen sha hex 	procurement substitute 
sha hex 	goods services 
error hash sha 	loss use 
file strcmp 	data profits 
sha hex error 	business 
sha hex 	interruption however 
error sha hex 	caused theory 
sha clear 	liability whether 
image sha file 	contract strict 
read sha 	liability tort 
file error clear 	including 
image apply 	negligence otherwise 
binary fragment 	arising way 
error hash sha 	use software 
file strcmp 	even advised 
sha hex error 	possibility damage 
sha hex 	ae 
apply binary apply 	selectc loop 
one fragment 	state loop 
error isgitlink strbuf 	setsize loop 
grow strbuf 	loop mask 
addf sha hex 	state loop 
read sha 	mask 
file strbuf attach 	state loop 
read blob 	tvp state 
list lookup list 	retval numevents 
insert list 	mask zmalloc 
insert list insert 	zero zero 
memset checkout 	zfree 
entry lstat error 	clr clr 
table deleted 	memcpy memcpy 
deleted isgitlink 	isset isset 
isdir match stat 	module copyright 
read file 	salvatore sanfilippo 
gitlink error isgitlink 	antirez 
read file 	gmail dot 
gitlink symlink leading 	rights reserved 
path strlen 	redistribution use 
error read old 	source binary 
data error 	forms without 
previous patch error 	modification 
strbuf load 	permitted provided 
patch target free 	following conditions 
fragment list 	met redistributions 
error strbuf detach 	source code 
prepare image 	must retain 
read mmblob read 	copyright 
mmblob read 	notice list 
mmblob merge 	conditions following 
free free free 	disclaimer redistributions 
free clear 	binary form 
image die cache 	must reproduce 
name pos 	copyright 
strlen error lstat 	notice list 
error strerror 	conditions following 
checkout target verify 	disclaimer documentation 
index match 	materials provided 
error load patch 	distribution neither 
target strbuf 	name 
detach prepare image 	redis names 
isgitlink isgitlink 	contributors may 
write sha file 	used endorse 
sha read 	promote products 
blob error strbuf 	derived software 
detach prepare 	without 
image apply fragments 	specific prior 
clear image 	written permission 
write sha 	software provided 
file clear image 	copyright holders 
load current 	contributors express 
error load preimage 	implied 
error write 	warranties including 
sha file clear 	limited implied 
image three 	warranties merchantability 
way merge oidclr 	fitness particular 
hashcpy hashcpy 	purpose disclaimed 
hashcpy load preimage 	shall 
apply fragments 	copyright owner 
threeway table free 	contributors liable 
error previous 	direct indirect 
patch error lstat 	incidental special 
error strerror 	exemplary consequential 
cache name pos 	damages 
strlen error 	including limited 
checkout target verify 	procurement substitute 
index match 	goods services 
error error 	loss use 
strerror mode stat 	data profits 
error warning 	business 
free cache name 	interruption however 
pos strlen 	caused theory 
lstat isdir symlink 	liability whether 
leading path 	contract strict 
strlen error strerror 	liability tort 
list lookup 	including 
list insert list 	negligence otherwise 
lookup islnk 	arising way 
symlink changes islnk 	use software 
symlink changes 	even advised 
check symlink changes 	possibility damage 
cache file 	need 
exists islnk lstat 	copy sets 
islnk strbuf 	safe reuse 
addstr path beyond 	sets ensure 
symlink strbuf 	enough room 
release verify 	type aligned 
path die verify 	allocc 
path die 	alignment alignment 
check preimage table 	size alignment 
deleted deleted 	size total 
check create error 	buf errno 
error strcmp 	aligned alloc 
error error die 	errno 
path path 	errno aligned 
beyond symlink error 	alloc errno 
apply data 	errno aligned 
error prepare symlink 	alloc errno 
changes prepare 	errno aligned 
table say patch 	alloc 
name check 	errno errno 
patch read cache 	aligned alloc 
cache name 	errno aligned 
pos strlen hashcpy 	alloc buferror 
memchr starts 	errno test 
sha hex 	fail 
starts sha hex 	malloc usable 
isgitlink preimage 	size free 
sha gitlink patch 	test define 
die sha 	maxalign size 
blob current sha 	all.c lua 
die die 	core 
make cache entry 	libraries interpreter 
die index 	single file 
entry die hold 	allocated.c config 
file update 	stats arg 
write locked index 	err usize 
die discard 	thd 
index show stats 	mallctl test 
print stat 	fail strerror 
summary write name 	mallctl test 
quoted strchr 	fail strerror 
strchr memcmp 	mallctl test 
show mode change 	fail 
show file 	strerror mallctl 
mode name show 	test fail 
file mode 	strerror malloc 
name show rename 	ptr mallctl 
copy show 	mallctl ptr 
mode change show 	malloc 
mode change 	usable size 
quote style strlen 	free mallctl 
quote style 	mallctl ptr 
strlen file cache 	test skip 
die warn 	thd start 
path strlen cache 	thd 
entry size 	create thd 
xcalloc memcpy create 	test run 
mode create 	tests multiple 
flags isgitlink skip 	times check 
prefix sha 	bad interactions 
hex die 	anet.c 
lstat die errno 	err fmt 
fill stat 	err non 
cache info write 	block flags 
sha file 	err err 
die cache entry 	err interval 
die isgitlink 	val 
lstat isdir mkdir 	err val 
islnk symlink 	err err 
open convert working 	err buffsize 
write die 	err yes 
strbuf release close 	err err 
die errno 	host 
create file safe 	ipbuf ipbuf 
create leading 	len flags 
directories create file 	hints info 
lstat isdir 	err host 
rmdir getpid mksnpath 	ipbuf ipbuf 
create file 	len 
rename unlink 	err host 
warn die errno 	ipbuf ipbuf 
strlen cache 	len err 
entry size file 	yes err 
cache oid 	domain err 
xcalloc memcpy create 	addr 
mode create 	port source 
flags hashcpy cache 	addr flags 
entry die 	portstr hints 
create one file 	servinfo bservinfo 
conflicted stages 	bound err 
file index file 	addr 
file create 	port err 
file file create 	addr port 
file say 	err addr 
patch name die 	port source 
strbuf addf 	addr err 
say patch name 	addr 
strbuf release 	port source 
strlen size 	addr err 
size warning memcpy 	path flags 
memcpy fopen 	err path 
error strerror fputc 	err path 
fclose write 	buf 
one result write 	count nread 
one reject 	totlen buf 
list append list 	count nwritten 
sort list 	totlen err 
clear rerere read 	len backlog 
patch file 	err 
xcalloc parse chunk 	yes err 
reverse patches 	port bindaddr 
use patch patch 	backlog port 
stats free 	hints servinfo 
patch die hold 	err port 
locked index 	bindaddr 
read cache 	backlog err 
die check patch 	port bindaddr 
list exit 	backlog err 
write results exit 	path perm 
build fake 	backlog err 
ancestor stat patch 	len 
list numstat 	err len 
patch list summary 	port salen 
patch list 	err salen 
free patch list 	len port 
strbuf release 	salen buf 
list clear git 	buf 
config git 	len port 
config git config 	buf buf 
name limit 	len port 
name limit atoi 	len port 
parse whitespace 	salen fmt 
option strbuf reset 	fmt 
strbuf addstr 	len port 
strbuf complete 	start vsnprintf 
strlen git apply 	end fcntl 
config parse 	anet error 
whitespace option parse 	strerror fcntl 
ignorewhitespace option 	anet 
parse options die 	error strerror 
die die 	anet block 
die die strcmp 	anet block 
apply patch 	setsockopt anet 
prefix filename open 	error strerror 
die errno 	setsockopt 
whitespace mode apply 	anet error 
patch close 	strerror setsockopt 
whitespace mode apply 	anet error 
patch warning 	strerror setsockopt 
die warning warning 	anet error 
write locked 	strerror 
index die apply 	setsockopt anet 
copyright linus 	error strerror 
torvalds applies 	anet tcp 
patches top arbitrary 	delay anet 
version scm 	tcp delay 
check turns checking 	setsockopt 
working matches 	anet error 
files modified doesn 	strerror setsockopt 
apply patch 	anet error 
stat diffstat doesn 	strerror setsockopt 
actually apply 	anet error 
numstat numeric diffstat 	strerror 
doesn actually 	memset getaddrinfo 
apply index info 	anet error 
shows old 	gai strerror 
index info paths 	inet ntop 
available index 	inet ntop 
updates cache well 	freeaddrinfo 
cached updates 	anet resolve 
cache without ever 	anet resolve 
touching working 	setsockopt anet 
diff stat 	error strerror 
like behaviour keep 	socket anet 
track biggest 	error 
change seen longest 	strerror anet 
filename allows 	reuse addr 
simple scaling various 	close snprintf 
current state 	memset getaddrinfo 
notably line numbers 	anet error 
file patching 	gai 
right xxxx things 	strerror socket 
flags means 	anet reuse 
know yet represents 	addr anet 
one hunk 	non block 
patch starting oldpos 	getaddrinfo anet 
oldlines newpos 	error 
newlines marker patch 	gai strerror 
text pointed 	bind freeaddrinfo 
patch length 	anet error 
stored size leading 	strerror connect 
trailing number 	close anet 
context lines patch 	error 
usually borrowed 	strerror close 
buf apply patch 	freeaddrinfo anet 
codepaths store 	tcp connect 
allocated buffer dealing 	anet tcp 
binary patch 	connect anet 
reuse leading field 	tcp 
store type 	connect anet 
binary hunk either 	tcp connect 
deflated delta 	anet tcp 
deflated represents patch 	connect anet 
file metainfo 	create socket 
changes creation deletion 	strncpy 
filemode content 	anet non 
changes represented series 	block connect 
fragments unknown 	anet error 
three way 	strerror close 
fallback result line 	anet unix 
file len 	connect 
bytes includes terminating 	anet unix 
incomplete line 	connect read 
end file ends 	write bind 
one contents 	anet error 
hashes hash represents 	strerror close 
file lines 	listen 
records filenames touched 	anet error 
order handle 	strerror close 
one patches touch 	setsockopt anet 
file compare 	error strerror 
lines length length 	close snprintf 
ignoring whitespace 	memset 
difference returns match 	getaddrinfo anet 
otherwise ignore 	error gai 
line endings skip 	strerror socket 
leading whitespaces 	anet anet 
begin whitespace 	reuse addr 
early lines empty 	anet 
skip whitespace 	listen anet 
inside check whitespace 	error freeaddrinfo 
buffers want 	anet tcp 
match reached end 	server anet 
one side 	tcp 
lines match buf 	server anet 
file contents 	create socket 
patched read various 	memset strncpy 
sources attach 	anet listen 
image line index 	chmod accept 
image owns 	anet 
buf fmt must 	error strerror 
contain one 	anet accept 
substitution make sure 	inet ntop 
slop buffer 	ntohs inet 
speculative memcmp etc 	ntop ntohs 
see nul 	anet 
filled slashes 	accept getpeername 
make index work 	inet ntop 
filenames proposed 	ntohs inet 
style gnu patch 	ntop ntohs 
diff format 	strncpy snprintf 
see http marc 	strchr 
info git 	anet peer 
date digit year 	anet format 
permit digit 	addr getsockname 
hours time expected 	inet ntop 
format fractional 	ntohs inet 
seconds hours minutes 	ntop 
whole seconds 	ntohs anet 
expected format spaces 	sock name 
posix gnu 	anet format 
date bad space 	addr anet 
date success 	basic tcp 
space date whitespace 	socket 
damage generally 	stuff made 
prefer shorter 	bit less 
name especially one 	boring copyright 
variation something 	salvatore sanfilippo 
tacked end file 	antirez gmail 
orig file 	dot 
given guess appropriate 	rights reserved 
given patch 	redistribution use 
begin prefix likely 	source binary 
apply directory 	forms without 
line posix timestamp 	modification permitted 
last gnu 	provided 
diff puts epoch 	following conditions 
signal creation 	met redistributions 
deletion timestamp interested 	source code 
epoch timestamp 	must retain 
non zero fraction 	copyright notice 
cannot one 	list 
hence regexp 	conditions following 
reason date must 	disclaimer redistributions 
either seconds 	binary form 
part must yyyy 	must reproduce 
must either 	copyright notice 
west gmt east 	list 
gmt name 	conditions following 
etc info lines 	disclaimer documentation 
traditional patch 	materials provided 
header fixme end 	distribution neither 
filename heuristics 	name redis 
kind screwy existing 	names 
files happily 	contributors may 
check index match 	used endorse 
creating file 	promote products 
match whatever patch 	derived software 
idea skip 	without specific 
skip anal diff 	prior 
header consistency 	written permission 
make sure 	software provided 
end strange ambiguous 	copyright holders 
patches floating 	contributors express 
around result gitdiff 	implied warranties 
old name 	including 
check names previous 	limited implied 
information make 	warranties merchantability 
sure expect dev 	fitness particular 
index line 	purpose disclaimed 
hexadecimal hexadecimal optional 	shall copyright 
space octal 	owner 
mode normal diff 	contributors liable 
doesn change 	direct indirect 
anything fall next 	incidental special 
diff tell 	exemplary consequential 
parser skip leading 	damages including 
components line 	limited 
accept absolute paths 	procurement substitute 
extract name 	goods services 
appears diff 	loss use 
git line find 	data profits 
anything rename 	business interruption 
patch find name 	however 
elsewhere need 	caused theory 
reliably find name 	liability whether 
mode change 	contract strict 
creation deletion empty 	liability tort 
file cases 	including negligence 
sides name respectively 	otherwise 
strip prefix 	arising way 
including trailing slash 	use software 
second points 	even advised 
one past closing 	possibility damage 
name find 	socket blocking 
second name must 	non 
match otherwise 	block zero 
ignore unquoted second 	non blocking 
unquoted first 	note fcntl 
name since 	getfl setfl 
first name unquoted 	interrupted signal 
exists must 	tcp 
beginning second name 	keep alive 
good accept 	option detect 
name shows twice 	dead peers 
exactly form 	interval option 
separator preimage postimage 	used linux 
pathname interested 	linux 
rename def name 	specific probe 
rename patch 	send time 
names elsewhere unambiguous 	interval count 
form postimage 	settings less 
name len bytes 	garbage keepalive 
starting name 	time 
second separated one 	linux modify 
found exactly 	settings make 
match verify 	feature actually 
recognize lines following 	useful send 
git header 	first probe 
git diff information 	interval 
guess things 	send next 
may old name 	probes specified 
rest headers 	interval note 
anywhere pure mode 	delay interval 
changes removing 	send three 
adding empty files 	probes 
name header 	detecting error 
fall parse unified 	see next 
diff fragment 	setsockopt call 
header form figure 	consider socket 
number lines 	error state 
fragment testing early 	three 
allows take 	send three 
shortcuts make sure 	ack probes 
find unconnected 	without getting 
patch fragments 	reply avoid 
sign didn find 	unused warning 
header patch 	non 
become corrupted broken 	linux systems 
git patch 	socket send 
might real patch 	timeout sndtimeo 
rename mode 	socket option 
change handle specially 	specified number 
followed accept 	milliseconds 
unified patches want 	disable argument 
least chars 	zero anet 
minimum shortest consider 	resolve called 
patch parse 	anet resolve 
unified diff note 	anet resolve 
really needs 	actual 
parse fragment separately 	work resolves 
since way 	hostname host 
know difference part 	representation address 
patch starts 	buffer pointed 
next patch 	ipbuf flags 
look line counts 	anet 
parse thing 	function resolves 
newer gnu diff 	hostnames actually 
empty context 	already addresses 
line allow newline 	turns function 
end file 	validating normalizing 
depending locale settings 	function 
patch produced 	specify socktype 
know line looks 	avoid dups 
like thing 	make sure 
know begins checking 	connection intensive 
sanity check 	things like 
newline least fragment 	redis 
ends incomplete 	benckmark able 
line failed include 	close open 
loop hit 	sockets zillion 
oldlines newlines seeing 	times make 
seen diff 	sure connection 
git header 	intensive 
traditional patch header 	things like 
read hunks 	redis benchmark 
belong patch fragments 	able close 
hang given 	open sockets 
patch structure fragment 	zillion times 
patch fragment 	best 
size pair points 	effort binding 
memory given 	strlen create 
caller copy something 	socket connect 
removed old 	fail socket 
lines cannot creation 	call connect 
something added 	retry 
cannot deletion however 	next entry 
reverse unified 	servinfo getaddrinfo 
patches necessarily creation 	saves self 
even though 	determining socket 
old lines ones 	non blocking 
necessarily deletion 	connect 
unfortunately real 	einprogress error 
creation deletion patch 	ended iteration 
context line 	loop without 
definition cannot safely 	errors connected 
tell apart 	socket caller 
unified insanity least 	handle 
patch one 	best effort 
hunk creation deletion 	binding binding 
read binary 	address used 
hunk fragment fragment 	possible create 
patch points 	socket without 
allocated memory caller 	binding 
must free 	address like 
marked free patch 	read make 
expect line 	sure count 
begins binary patch 	read unless 
method delta 	error eof 
followed length 	condition 
data deflating sequence 	encountered like 
length followed 	write make 
encoded data follow 	sure count 
terminated newline 	written unless 
sequence encodes bytes 	error encountered 
would limit 	strlen 
patch line characters 	effect bindaddr 
one line 	format port 
fit groups would 	pair something 
decode bytes 	easy parse 
max length corresponds 	matches surrounded 
bytes corresponds 	port 
bytes consume blank 	separated colons 
line minimum 	standard display 
line line length 	addresses within 
must multiple 	redis like 
plus input length 	anet format 
multiple would 	addr 
filler end 	extract port 
filler never exceed 	socket peer 
bytes read 	anet.h err 
git binary patch 	addr port 
follows line 	err addr 
says patch method 	port 
currently either 	err addr 
delta length data 	port source 
deflating sequence 	addr err 
length followed encoded 	addr port 
data follows 	source addr 
binary patch reversible 	err 
another binary 	path err 
hunk format starting 	path buf 
patch method 	count err 
either delta length 	host ipbuf 
data sequence 	ipbuf len 
length encoded data 	err 
terminated another 	host ipbuf 
empty line 	ipbuf len 
data applied postimage 	err port 
produces preimage 	bindaddr backlog 
one hunk forward 	err port 
hunk otherwise 	bindaddr 
already gave error 	backlog err 
message reverse 	path perm 
hunk error corrupt 	backlog err 
reverse hunk 	serversock len 
include exclude paths 	port err 
outside touched 	serversock 
regardless include see 	buf count 
matches exclude 	err err 
include rule include 	err err 
path match 	err err 
rule used otherwise 	len port 
saw bunch 	err 
exclude rules none 	interval len 
path used 	port fmt 
read patch 	fmt len 
text buffer size 	port fmt 
bytes stop 	fmt len 
reading seeing single 	fmt 
patch changes 	fmt len 
single file create 	anet basic 
fragments patch 	tcp socket 
hunks hang given 	stuff made 
patch number 	bit less 
bytes consumed caller 	boring 
call next 	copyright salvatore 
patch empty patch 	sanfilippo antirez 
cannot applied 	gmail dot 
text patch without 	rights reserved 
metadata change 	redistribution use 
binary patch appears 	source 
empty scale 	binary forms 
filename scale 	without modification 
update preimage common 	permitted provided 
lines postimage 	following conditions 
buffer buf length 	met redistributions 
len postlen 	source 
postimage updated place 	code must 
otherwise updated 	retain copyright 
buffer length postlen 	notice list 
update preimage 	conditions following 
whitespace fixes note 	disclaimer redistributions 
losing preimage 	binary 
buf apply one 	form must 
fragment free 	reproduce copyright 
oldlines adjust common 	notice list 
context lines 	conditions following 
postimage done place 	disclaimer documentation 
shrinking whitespace 	materials 
fixing needs buffer 	provided distribution 
ignoring whitespace 	neither name 
expanding leading 	redis names 
tabs spaces trust 	contributors may 
caller tell 	used endorse 
update done place 	promote 
postlen added 	products derived 
line counterparts preimage 	software without 
common context 	specific prior 
skip original postimage 	written permission 
find corresponding 	software provided 
one preimage preimage 	copyright 
expected run 	holders contributors 
caller addition trailing 	express implied 
blank lines 	warranties including 
copy fixing line 	limited implied 
length fix 	warranties merchantability 
length whole thing 	fitness 
hunk falls 	particular purpose 
within boundaries img 	disclaimed shall 
hunk beyond 	copyright owner 
end img 	contributors liable 
removing blank lines 	direct indirect 
end file 	incidental 
many lines beginning 	special exemplary 
preimage must 	consequential damages 
