abspath.c path 	AboutActivity.java saved 
refs reflog 	atomic 
msg transport src 	json json 
prefix remote 	json json 
complete refs fetch 	android 
refspec fetch 	content context 
pattern size strbuf 	android graphics 
setlen strbuf 	bitmap 
addstr stat isdir 	android graphics 
git directory 	bitmap factory 
isreg open 	android 
read full close 	graphics canvas 
strncmp read 	android 
gitfile size strbuf 	graphics pixel 
setlen strbuf 	format android 
addstr stat isreg 	graphics 
strbuf addstr 	drawable bitmap 
repo path xstrdup 	drawable android 
absolute path 	graphics 
strbuf release strlen 	drawable drawable 
strstr dir 	xiecc see 
sep dir sep 	weather 
isspace dir 	application buffered 
sep strncmp dir 	reader buffered 
sep memchr 	writer 
memchr isdigit dir 	input stream 
sep strip 	output 
suffix mem die 	stream file 
xstrfmt xstrndup 	file output 
isspace strlen 	stream 
dir sep xstrdup 	file reader 
real path 	file writer 
read gitfile read 	input 
gitfile mkpath 	stream output 
free xstrdup directory 	stream random 
mkpath mkpathdup 	access 
free directory mkpath 	file serializable 
common dir 	collections hash 
die die access 	map 
mkpath die 	map map 
access mkpath die 	entry 
strbuf addf 	concurrent atomic 
alternates file strbuf 	atomic integer 
release free 	concurrent 
list fopen strbuf 	atomic atomic 
getline absolute 	json json 
path alternates file 	json 
mkpathdup normalize 	json android 
path copy 	content context 
alternates file free 	android 
strbuf release 	graphics bitmap 
fclose opendir die 	android 
errno mkdir 	graphics bitmap 
die errno stat 	factory android 
die errno 	graphics 
isdir die strbuf 	canvas android 
addch strbuf 	graphics pixel 
addch readdir strbuf 	format 
setlen strbuf 	android graphics 
addstr strbuf setlen 	drawable bitmap 
strbuf addstr 	drawable 
stat warning isdir 	android graphics 
copy link 	drawable drawable 
directory strcmp copy 	xiecc 
alternates unlink 	see weather 
die errno link 	application 
die errno 	buffered reader 
copy file 	buffered writer 
time die errno 	input 
closedir strbuf 	stream output 
addf alternates file 	stream file 
strbuf release 	file 
common dir common 	output stream 
dir strbuf 	file reader 
addstr strbuf addstr 	file 
copy link 	writer input 
directory strbuf release 	stream output 
strbuf release 	stream 
warning strbuf addstr 	random access 
dir recursively 	file 
strbuf reset strbuf 	serializable collections 
addstr dir 	hash map 
recursively strbuf reset 	map 
junk sigchain 	map entry 
pop strbuf 	concurrent atomic 
addstr strbuf addstr 	atomic 
find name 	integer concurrent 
strbuf release strbuf 	atomic atomic 
addstr strbuf 	json 
addstr find name 	json json 
strbuf release 	json android 
copy find name 	content 
guess remote 	context android 
head copy find 	graphics 
remote branch 	bitmap android 
warning fetch map 	graphics bitmap 
fetch map 	factory 
fetch map fetch 	android graphics 
map transaction 	canvas android 
begin die transaction 	graphics 
create die 	pixel format 
initial transaction commit 	android graphics 
die strbuf 	drawable 
release transaction 	bitmap drawable 
free starts ends 	android graphics 
file update 	drawable 
hashcpy check everything 	drawable xiecc 
connected transport 	see 
die write remote 	weather application 
refs write 	buffered reader 
followtags strbuf addstr 	buffered 
strbuf addstr 	writer input 
create symref die 	stream output 
strbuf release 	stream 
skip prefix create 	file file 
symref die 	output stream 
update install branch 	file 
config lookup 	reader file 
commit reference update 	writer input 
update resolve 	stream 
refdup warning strcmp 	output stream 
detach advice 	random 
sha hex 	access file 
starts die free 	serializable collections 
setup work 	hash 
xcalloc hold locked 	map map 
index memset 	map entry 
parse indirect parse 	concurrent 
init desc 	atomic atomic 
unpack trees die 	integer concurrent 
write locked 	atomic 
index die run 	atomic json 
hook sha 	json json 
hex sha hex 	json 
run command 	android content 
opt git config 	context 
multivar gently 	android graphics 
git config parse 	bitmap android 
parameter die 	graphics 
starts strbuf addf 	bitmap factory 
strbuf addf 	android graphics 
skip prefix 	canvas 
die strbuf addf 	android graphics 
strbuf addf 	pixel format 
strbuf addf git 	android 
config multivar 	graphics drawable 
strbuf reset strbuf 	bitmap drawable 
addf git 	android 
config strbuf reset 	graphics drawable 
strbuf release 	drawable 
strbuf release git 	xiecc see 
pathdup access 	weather application 
run command opt 	buffered 
die unlink 	reader buffered 
die errno free 	writer input 
packet trace 	stream 
identity parse options 	output stream 
usage msg 	file file 
opt usage 	output 
msg opt die 	stream file 
die repo 	reader file 
path xstrdup absolute 	writer 
path strchr 	input stream 
die atoi die 	output 
xstrdup guess 	stream random 
dir name strip 	access file 
trailing slashes 	serializable 
stat empty dir 	collections hash 
die strbuf 	map map 
addf getenv stat 	map 
die xstrdup 	entry concurrent 
mkpathdup atexit sigchain 	atomic atomic 
push common 	integer 
safe create leading 	concurrent atomic 
directories die 	atomic json 
errno mkdir die 	json 
errno git 	json json 
work safe 	android 
create leading directories 	content context 
die git 	android graphics 
dir init init 	bitmap 
write config 	android graphics 
git config strbuf 	bitmap factory 
addstr git 	android 
config strbuf addf 	graphics canvas 
strbuf addf 	android graphics 
strbuf addf git 	pixel 
config strbuf 	format android 
reset setup reference 	graphics drawable 
parse fetch 	bitmap 
refspec strbuf reset 	drawable android 
remote transport 	graphics 
transport verbosity repo 	drawable drawable 
path warning 	xiecc see 
access mkpath warning 	weather 
warning die 	application buffered 
transport option 	reader buffered 
transport option transport 	writer 
option transport 	input stream 
option transport remote 	output stream 
refs wanted 	file 
peer refs oid 	file output 
transport fetch 	stream file 
refs find name 	reader 
guess remote 	file writer 
head find remote 	input 
branch die 	stream output 
die warning install 	stream random 
branch config 	access 
write refspec config 	file serializable 
clone local 	collections hash 
transport fetch refs 	map 
update remote 	map map 
refs update head 	entry concurrent 
transport unlock 	atomic 
pack transport 	atomic integer 
disconnect close packs 	concurrent atomic 
dissociate references 	atomic 
checkout strbuf release 	json json 
strbuf release 	json 
strbuf release strbuf 	json android 
release free 	content context 
builtin git clone 	android 
copyright kristian 	graphics bitmap 
gsberg krh redhat 	android graphics 
daniel barkalow 	bitmap 
barkalow iabervon git 	factory android 
commit junio 	graphics canvas 
hamano linus torvalds 	android 
clone repository 	graphics pixel 
different directory yet 	format android 
exist overall 	graphics 
fixm respect 	drawable bitmap 
environment git objects 	drawable 
implementation notes 	android graphics 
dropping use separate 	drawable drawable 
remote separate 	xiecc 
remote compatibility gitfile 	see weather 
skip scheme 	application buffered 
skip authentication data 	reader 
stripping happen 	buffered writer 
greedily strip last 	input stream 
inside host 	output 
part strip trailing 	stream file 
spaces slashes 	file output 
git strip trailing 	stream 
port number 	file reader 
got hostname dir 	file 
separator colon 	writer input 
check required strip 	stream output 
uri like 	stream 
foo bar 	random access 
git result dir 	file serializable 
guessed due 	collections 
backwards compatibility find 	hash map 
last component 	map map 
remain backwards compatible 	entry 
also regard 	concurrent atomic 
colons path separators 	atomic integer 
cloning repository 	concurrent 
foo bar git 	atomic atomic 
would result 	json 
directory bar guessed 	json json 
strip bundle 	json android 
git replace sequences 	content 
control characters 	context android 
whitespace one ascii 	graphics bitmap 
space leading 	android 
trailing spaces strip 	graphics bitmap 
leading whitespace 	factory android 
beware read 	graphics 
gitfile real path 	canvas android 
mkpath buffer 	graphics pixel 
read source objects 	format 
info alternates 	android graphics 
file copy entries 	drawable 
corresponding file 	bitmap drawable 
destination repository alternates 	android graphics 
file src 	drawable 
dst path objects 	drawable xiecc 
info alternates 	see weather 
instead copying bit 	application 
bit original 	buffered reader 
need append existing 	buffered writer 
one already 	input 
created entry via 	stream output 
clone lost 	stream file 
also turn entries 	file 
paths relative 	output stream 
original absolute 	file 
used repository files 	reader file 
cannot copied 	writer input 
bit bit fall 	stream 
proceed removal 	output stream 
branch tag pull 	random access 
requested tag 	file 
explicitly skip anything 	serializable collections 
missing peer 	hash map 
actually going write 	map 
returning notes 	map entry 
end list caller 	concurrent atomic 
local branch 	atomic 
link branch specifies 	integer concurrent 
non branch 	atomic 
tags detach head 	atomic json 
know remote 	json json 
head points non 	json 
branch head 	android content 
points branch 	context android 
know one detach 	graphics 
head cases 	bitmap android 
need work checkout 	graphics bitmap 
otherwise next 	factory 
git fetch simply 	android graphics 
fetch head 	canvas android 
without updating remote 	graphics 
tracking branch 	pixel format 
want configure remote 	android 
need strict 	graphics drawable 
transport option validate 	bitmap drawable 
transport remote 	android 
refs may refs 	graphics drawable 
sha mapped 	drawable xiecc 
refs see transport 	see 
refs list 	weather application 
comment need 	buffered reader 
fetch early remote 	buffered 
head code 	writer input 
relies normal clones 	stream output 
transport remote 	stream 
refs reliable delay 	file file 
cloning remote 	output 
head check color.c 	stream file 
git use 	reader file 
color color stdout 	writer 
tty column 	input stream 
colors ansi column 	output stream 
colors ansi 	random 
max red green 	access file 
blue word 	serializable collections 
len match val 	hash 
name len 	map map 
color names end 	map entry 
val name 	concurrent 
len attr 	atomic atomic 
values attr names 	integer 
str dst 	concurrent atomic 
dst color bytes 	atomic json 
len type 	json 
len dst ptr 	json json 
len end 	android content 
attr word val 	context 
wordlen sep 	android graphics 
bit term want 	bitmap android 
color color 	graphics 
fmt args trail 	bitmap factory 
color fmt 	android graphics 
args color fmt 	canvas 
args size 	android graphics 
strncasecmp hexval hexval 	pixel 
match word 	format android 
hex color hex 	graphics drawable 
color hex 	bitmap 
color size 	drawable android 
match word strtol 	graphics drawable 
size strncasecmp 	drawable 
color parse mem 	xiecc see 
strlen xsnprintf 	weather application 
die xsnprintf xsnprintf 	buffered 
strncasecmp xsnprintf 	reader buffered 
isspace isspace parse 	writer 
color parse 	input stream 
attr color empty 	output stream 
color empty 	file 
xsnprintf color empty 	file output 
color output 	stream file 
color empty color 	reader 
output error 	file writer 
strcasecmp strcasecmp strcasecmp 	input stream 
git config 	output 
isatty pager use 	stream random 
getenv strcmp 	access file 
check color 	serializable 
strcmp git config 	collections hash 
colorbool git 	map 
color config git 	map map 
config vfprintf 	entry concurrent 
start color vfprintf 	atomic 
end start 	atomic integer 
color vfprintf end 	concurrent atomic 
strcmp list 	atomic 
available column colors 	json json 
ignore reset 	json json 
end giving size 	android 
individual foreground 	content context 
background color basic 	android graphics 
ansi colors 	bitmap 
numeric ansi color 	android graphics 
modes bit 	bitmap 
rgb color 	factory android 
values word buffer 	graphics canvas 
length len 	android 
match nul terminated 	graphics pixel 
match exactly 	format android 
positions must match 	graphics 
ansi color 	drawable bitmap 
codes first special 	drawable android 
word normal 	graphics 
bit rgb pick 	drawable drawable 
human readable 	xiecc see 
color names color 	weather 
mode number 	application buffered 
allow normal negative 	reader 
numbers bogus 	buffered writer 
fall error rewrite 	input stream 
low numbers 	output 
portable standard colors 	stream file 
write ansi 	file output 
color codes 	stream 
already ansi escape 	file reader 
code enough 	file writer 
space fit color 	input 
attr foreground 	stream output 
colors range background 	stream random 
colors range 	access 
missing turn colorization 	file serializable 
normal truth 	collections 
defaults color.h column 	hash map 
colors ansi 	map map 
column colors ansi 	entry 
max color 	concurrent atomic 
stdout tty dst 	atomic integer 
color bytes 	concurrent 
dst len dst 	atomic atomic 
color fmt 	json json 
color fmt color 	json 
color num 	json android 
attrs nul 	content context 
xxm maximum length 	android 
ansi color 	graphics bitmap 
sequence would generate 	android 
leading esc 	graphics bitmap 
attr color color 	factory android 
terminating nul 	graphics 
overcounts attr use 	canvas android 
one semicolon 	graphics pixel 
close enough important 	format 
due way 	android graphics 
color codes emulated 	drawable bitmap 
windows write 	drawable 
fputs particular use 	android graphics 
puts write 	drawable drawable 
special meaning color 	xiecc 
selected first 	see weather 
three chosen match 	application 
common usage 	buffered reader 
code returned 	buffered writer 
git config colorbool 	input 
returned config 	stream output 
colorbool converted want 	stream file 
color either 	file 
list colors use 	output stream 
commit graphs 	file reader 
show branch output 	file 
generally color 	writer input 
code lazily figure 	stream output 
provides mechanism 	stream 
callers autodetection use 	random access 
first one 	file 
need color config 	serializable collections 
second convenience 	hash map 
going change git 	map 
config color 	map entry 
buffer must 	concurrent atomic 
color maxlen bytes 	atomic 
raw color 	integer concurrent 
bytes useful initializing 	atomic atomic 
color variables 	json 
color column.c list 	json json 
colopts opts 	json android 
rows cols len 	content 
width colopts 	context android 
len str len 	graphics 
data width 	bitmap android 
data data total 	graphics bitmap 
width cols 	factory 
rows list indent 	android graphics 
data initial 	canvas android 
width empty cell 	graphics 
len newline 	pixel format 
list colopts opts 	android graphics 
data initial 	drawable 
width empty 	bitmap drawable 
cell list colopts 	android graphics 
opts nopts 	drawable 
colopts stdout tty 	drawable xiecc 
name mask 	see 
arg len colopts 	weather application 
opts name 	buffered reader 
len arg str 	buffered 
colopts sep 	writer input 
len key colopts 	stream output 
command colopts 	stream 
opt arg unset 	file file 
colopts column 	output stream 
process colopts opts 	file 
argv strbuf 	reader file 
addstr strstr strspn 	writer input 
strbuf utf 	stream 
strwidth strbuf release 	output stream 
strlen div 	random 
round linear 	access file 
linear realloc div 	serializable collections 
round realloc 	hash 
compute column width 	map map 
strlen compute 	map entry 
column width linear 	concurrent 
col layout 	atomic atomic 
memset alloc item 	integer concurrent 
length layout 	atomic 
shrink columns xmallocz 	atomic json 
memset display 	json json 
cell free free 	json 
free memset 	android content 
term columns column 	context 
active display 	android graphics 
plain col layout 	bitmap android 
display plain 	graphics 
display table die 	bitmap factory 
col layout 	android graphics 
isatty size 	canvas 
strncmp strlen strncmp 	android graphics 
error strcspn 	pixel format 
parse option strspn 	android 
config error 	graphics drawable 
nonbool parse config 	bitmap drawable 
error skip 	android 
prefix strcmp column 	graphics drawable 
config strcmp 	drawable 
column config parse 	xiecc see 
config child 	weather application 
process init argv 	buffered 
push argv 	reader buffered 
pushf argv pushf 	writer input 
argv pushf 	stream 
argv pushf fflush 	output stream 
dup start 	file file 
command dup close 	output 
dup close 	stream file 
fflush close 	reader file 
finish command dup 	writer 
close cell 	input stream 
length index longest 	output 
row column 	stream random 
length letters ansi 	access file 
escapes stripped 	serializable 
len func calculate 	collections hash 
cell width 	map map 
rows cols table 	map 
equal cells 	entry concurrent 
given table width 	atomic atomic 
many spaces 	integer 
cells shrink columns 	concurrent atomic 
shortening one 	atomic json 
row time adding 	json 
columns along 	json json 
way hopefully 	android 
longest cell moved 	content context 
next column 	android graphics 
column shrunk space 	bitmap 
columns process 	android graphics 
ends whole thing 	bitmap factory 
longer fits 	android 
data total width 	graphics canvas 
display without 	android graphics 
layout enabled print 	pixel 
cell stdout 	format android 
necessary leading traling 	graphics drawable 
space empty 	bitmap 
cell initial width 	drawable android 
chars real 	graphics 
column narrower increase 	drawable drawable 
len bit 	xiecc see 
fill less space 	weather 
display col 	application buffered 
column col 	reader buffered 
row none always 	writer 
never specified 	input stream 
setting layout implies 	output stream 
always current 	file 
col enable mask 	file output 
disregarded means 	stream file 
column pass column 	reader 
row become 	file writer 
always column never 	input 
column always 	stream output 
unless arg states 	stream random 
otherwise one 	access 
special must first 	file serializable 
one builtin 	collections hash 
column usage colopts 	map 
argc argv 	map map 
prefix list copts 	entry concurrent 
real command 	atomic 
options git 	atomic integer 
column config starts 	concurrent atomic 
git config 	atomic 
git config memset 	json json 
term columns 	json 
parse options usage 	json android 
options strcmp 	content context 
die finalize colopts 	android 
strbuf getline 	graphics bitmap 
list append print 	android graphics 
columns cell 	bitmap 
length index longest 	factory android 
row column 	graphics canvas 
length letters ansi 	android 
escapes stripped 	graphics pixel 
len func calculate 	format android 
cell width 	graphics 
rows cols table 	drawable bitmap 
equal cells 	drawable 
given table 	android graphics 
width many spaces 	drawable drawable 
cells shrink 	xiecc 
columns shortening one 	see weather 
row time 	application buffered 
adding columns along 	reader 
way hopefully 	buffered writer 
longest cell moved 	input stream 
next column 	output 
column shrunk space 	stream file 
columns process 	file output 
ends whole thing 	stream 
longer fits 	file reader 
data total width 	file 
display without 	writer input 
layout enabled print 	stream output 
cell stdout 	stream 
necessary leading 	random access 
traling space empty 	file serializable 
cell initial 	collections 
width chars real 	hash map 
column narrower 	map map 
increase len bit 	entry 
fill less 	concurrent atomic 
space display col 	atomic integer 
column col 	concurrent 
row none always 	atomic atomic 
never specified 	json 
setting layout implies 	json json 
always current 	json android 
col enable mask 	content 
disregarded means 	context android 
column pass column 	graphics bitmap 
row become 	android 
always column never 	graphics bitmap 
column always 	factory android 
unless arg 	graphics 
states otherwise one 	canvas android 
special must 	graphics pixel 
first one column.c 	format 
list colopts 	android graphics 
opts rows cols 	drawable 
len width 	bitmap drawable 
colopts len str 	android graphics 
len data 	drawable 
width data data 	drawable xiecc 
total width 	see weather 
cols rows list 	application 
indent data 	buffered reader 
initial width empty 	buffered writer 
cell len 	input 
newline list colopts 	stream output 
opts data 	stream 
initial width empty 	file file 
cell list 	output stream 
colopts opts 	file 
nopts colopts stdout 	reader file 
tty name 	writer input 
mask arg len 	stream 
colopts opts 	output stream 
name len arg 	random access 
str colopts 	file 
sep len key 	serializable collections 
colopts command 	hash map 
colopts opt arg 	map 
unset colopts 	map entry 
column process colopts 	concurrent 
opts argv 	atomic atomic 
strbuf addstr strstr 	integer concurrent 
strspn strbuf 	atomic 
utf strwidth strbuf 	atomic json 
release strlen 	json json 
div round linear 	json 
linear realloc 	android content 
div round 	context android 
realloc compute column 	graphics 
width strlen 	bitmap android 
compute column width 	graphics bitmap 
linear col 	factory 
layout memset alloc 	android graphics 
item length 	canvas 
layout shrink columns 	android graphics 
xmallocz memset 	pixel format 
display cell free 	android 
free free 	graphics drawable 
memset term columns 	bitmap drawable 
column active 	android 
display plain col 	graphics drawable 
layout display 	drawable xiecc 
plain display table 	see 
die col 	weather application 
layout isatty 	buffered reader 
size strncmp strlen 	buffered 
strncmp error 	writer input 
strcspn parse option 	stream 
strspn config 	output stream 
error nonbool parse 	file file 
config error 	output 
skip prefix strcmp 	stream file 
column config 	reader file 
strcmp column config 	writer 
parse config 	input stream 
child process init 	output stream 
argv push 	random 
argv pushf argv 	access file 
pushf argv 	serializable collections 
pushf argv pushf 	hash 
fflush dup 	map map 
start command dup 	map 
close dup 	entry concurrent 
close fflush 	atomic atomic 
close finish command 	integer 
dup close 	concurrent atomic 
cell length index 	atomic json 
longest row 	json 
column length letters 	json json 
ansi escapes 	android content 
stripped len func 	context 
calculate cell 	android graphics 
width rows cols 	bitmap android 
table equal 	graphics 
cells given table 	bitmap factory 
width many 	android 
spaces cells shrink 	graphics canvas 
columns shortening 	android graphics 
one row time 	pixel 
adding columns 	format android 
along way hopefully 	graphics drawable 
longest cell 	bitmap 
moved next 	drawable android 
column column shrunk 	graphics drawable 
space columns 	drawable 
process ends whole 	xiecc see 
thing longer 	weather application 
fits data total 	buffered 
width display 	reader buffered 
without layout enabled 	writer 
print cell 	input stream 
stdout necessary leading 	output stream 
traling space 	file 
empty cell initial 	file output 
width chars 	stream file 
real column narrower 	reader 
increase len 	file writer 
bit fill less 	input stream 
space display 	output 
col column col 	stream random 
row none 	access file 
always never 	serializable 
specified setting layout 	collections hash 
implies always 	map 
current col enable 	map map 
mask disregarded 	entry concurrent 
means column pass 	atomic 
column row 	atomic integer 
become always column 	concurrent atomic 
never column 	atomic 
always unless arg 	json json 
states otherwise 	json json 
one special must 	android 
first one 	content context 
builtin column usage 	android graphics 
colopts argc 	bitmap 
argv prefix list 	android graphics 
copts real 	bitmap 
command options git 	factory android 
column config 	graphics canvas 
starts git 	android 
config git config 	graphics pixel 
memset term 	format android 
columns parse options 	graphics 
usage options 	drawable bitmap 
strcmp die finalize 	drawable android 
colopts strbuf 	graphics 
getline list append 	drawable drawable 
print columns 	xiecc see 
cell length index 	weather 
longest row 	application buffered 
column length letters 	reader 
ansi escapes 	buffered writer 
stripped len func 	input stream 
calculate cell 	output 
width rows cols 	stream file 
table equal 	file output 
cells given 	stream 
table width many 	file reader 
spaces cells 	file writer 
shrink columns shortening 	input 
one row 	stream output 
time adding columns 	stream random 
along way 	access 
hopefully longest cell 	file serializable 
moved next 	collections 
column column shrunk 	hash map 
space columns 	map map 
process ends whole 	entry 
thing longer 	concurrent atomic 
fits data total 	atomic integer 
width display 	concurrent 
without layout enabled 	atomic atomic 
print cell 	json json 
stdout necessary leading 	json 
traling space 	json android 
empty cell 	content context 
initial width chars 	android 
real column 	graphics bitmap 
narrower increase len 	android 
bit fill 	graphics bitmap 
less space display 	factory android 
col column 	graphics 
col row none 	canvas android 
always never 	graphics pixel 
specified setting layout 	format 
implies always 	android graphics 
current col enable 	drawable bitmap 
mask disregarded 	drawable 
means column pass 	android graphics 
column row 	drawable drawable 
become always column 	xiecc 
never column 	see weather 
always unless arg 	application 
states otherwise 	buffered reader 
one special 	buffered writer 
must first one 	input 
column.h width 	stream output 
padding indent option 	stream file 
command colopts 	file 
colopts stdout tty 	output stream 
colopts list 	file reader 
colopts opts colopts 	file 
column options 	writer input 
always never column 	stream output 
given cmdline 	stream 
shrink columns possible 	random access 
making space 	file 
columns must zero 	serializable collections 
fill columns 	hash map 
rows fill rows 	map 
columns one 	map entry 
column combine-diff.c one 	concurrent atomic 
two curr 	atomic 
num parent 	integer concurrent 
tail cmp len 	atomic atomic 
path next 	json 
prev len parent 	json json 
map line 	json android 
lost head lost 	content 
tail len 	context android 
lost lenlost plost 	graphics 
bol len 	bitmap android 
flag lno line 	graphics bitmap 
len line 	factory 
len flags lenbase 	android graphics 
lennew parent 	canvas android 
flags lcs baseend 	graphics 
newend origbaselen 	pixel format 
lline lline oid 	android graphics 
mode size 	drawable 
textconv path 	bitmap drawable 
blob sline line 	android graphics 
len lline 	drawable 
mask lno nmask 	drawable xiecc 
num parent 	see 
sline lost bucket 	weather application 
state line 	buffered reader 
len state parent 	buffered 
mode result 	writer input 
file sline cnt 	stream output 
num parent 	stream 
result deleted textconv 	file file 
path flags 	output stream 
lno lno nmask 	file 
xpp xecfg 	reader file 
parent file state 	writer input 
context combine 	stream 
marker sline mask 	output stream 
sline mask 	random 
hunk begin 	access file 
sline mark cnt 	serializable collections 
look uninteresting 	hash 
sline cnt num 	map map 
parent mask 	map entry 
mark pre sline 	concurrent 
cnt num 	atomic atomic 
parent dense mask 	integer concurrent 
mark interesting 	atomic 
hunk begin hunk 	atomic json 
end diff 	json json 
contin diff sline 	json 
context bol 	android content 
line len reset 	context 
saw eol 	android graphics 
sline line prefix 	bitmap android 
cnt num 	graphics 
parent use color 	bitmap factory 
result deleted 	android graphics 
mark pre 	canvas 
lno frag func 	android graphics 
old context 	pixel format 
reset hunk end 	android 
rlines hunk 	graphics drawable 
comment context comment 	bitmap drawable 
end mask 	android 
sline cnt lno 	graphics drawable 
imask jmask 	drawable 
head prefix path 	xiecc see 
line prefix 	weather application 
meta reset buf 	buffered 
elem num 	reader buffered 
parent dense rev 	writer input 
line prefix 	stream 
mode differs show 	output stream 
file header 	file file 
opt abbrev prefix 	output 
prefix meta 	stream file 
reset abb 	reader file 
added deleted elem 	writer 
num parent 	input stream 
dense working file 	output 
rev opt 	stream random 
result size cnt 	access file 
lno result 	serializable 
deleted result sline 	collections hash 
mode differs 	map map 
show hunks result 	map 
file userdiff 	entry concurrent 
textconv binary line 	atomic atomic 
prefix buf 	integer 
oid len done 	concurrent atomic 
file buf 	atomic json 
buf size tmp 	json 
num parent 	json json 
rev opt 	android 
line termination inter 	content context 
name termination 	android graphics 
line prefix num 	bitmap 
parent dense 	android graphics 
rev opt pair 	bitmap factory 
num parent 	android 
pair pool opt 	graphics canvas 
paths num 	android graphics 
parent num paths 	pixel 
obj path 	format android 
sha parents opt 	graphics drawable 
paths num 	bitmap 
parent output format 	drawable android 
orderfile stat 	graphics 
opt sha parents 	drawable drawable 
opt nparent 	xiecc see 
parents sha paths 	weather 
head sha 	application buffered 
parents dense 	reader buffered 
rev opt diffopts 	writer 
paths num 	input stream 
paths needsep show 	output stream 
log first 	file 
num parent need 	file output 
pathscan stat 	stream file 
opt tmp commit 	reader 
dense rev 	file writer 
parent parents isdir 	input 
isdir strcmp 	stream output 
name compare strlen 	stream random 
strlen diff 	access 
unmodified pair strlen 	file serializable 
xmalloc combine 	collections hash 
diff path size 	map 
memcpy memset 	map map 
hashcpy hashcpy compare 	entry concurrent 
paths free 	atomic 
hashcpy xdl 	atomic integer 
isspace xdl isspace 	concurrent 
memcmp xdl 	atomic atomic 
isspace xdl isspace 	json json 
xdl isspace 	json 
xdl isspace xdl 	json android 
isspace xdl 	content context 
isspace xdl isspace 	android 
xdl isspace 	graphics bitmap 
xcalloc xcalloc free 	android graphics 
free free 	bitmap 
free free isgitlink 	factory android 
xmalloc snprintf 	graphics canvas 
oid hex oid 	android 
xcalloc alloc 	graphics pixel 
filespec fill filespec 	format 
fill textconv 	android graphics 
free filespec read 	drawable bitmap 
sha file 	drawable 
die oid 	android graphics 
hex flex alloc 	drawable drawable 
mem memcmp 	xiecc 
parse hunk header 	see weather 
xcalloc append 	application buffered 
lost grab blob 	reader 
memset memset 	buffered writer 
memset xdi diff 	input stream 
outf die 	output 
oid hex free 	stream file 
coalesce lines 	file 
find next find 	output stream 
next find 	file reader 
next adjust hunk 	file 
tail interesting 	writer input 
give context adjust 	stream output 
hunk tail 	stream 
give context isalpha 	random access 
strlen diff 	file serializable 
color diff 	collections 
color diff color 	hash map 
diff color 	map map 
diff color diff 	entry 
color hunk 	concurrent atomic 
comment line putchar 	atomic 
show parent 	integer concurrent 
lno putchar isspace 	atomic atomic 
putchar putchar 	json 
putchar show line 	json json 
eol fputs 	json android 
fputs fputs putchar 	content 
putchar show 	context android 
line eol strbuf 	graphics bitmap 
reset strbuf 	android 
addstr strbuf addstr 	graphics bitmap 
strbuf addstr 	factory android 
quote two 	graphics 
style strbuf addstr 	canvas android 
puts diff 	graphics 
opt tst diff 	pixel format 
color opt 	android graphics 
diff color opt 	drawable 
show log 	bitmap drawable 
dump quoted path 	android graphics 
find unique 	drawable 
abbrev find unique 	drawable xiecc 
abbrev dump 	see weather 
quoted path dump 	application 
quoted path 	buffered reader 
dump quoted path 	buffered writer 
dump quoted 	input 
path diff line 	stream output 
prefix userdiff 	stream 
find path userdiff 	file file 
find name 	output stream 
diff opt 	file 
tst userdiff textconv 	reader file 
grab blob 	writer input 
lstat islnk strbuf 	stream 
readlink error 	output stream 
strerror strbuf detach 	random access 
canon mode 	file 
isdir resolve gitlink 	serializable collections 
grab blob 	hash map 
grab blob alloc 	map 
filespec fill 	map entry 
filespec fill textconv 	concurrent 
free filespec 	atomic atomic 
open xsize canon 	integer concurrent 
mode islnk 	atomic 
canon mode xmallocz 	atomic json 
read full 	json json 
die errno die 	json 
convert git 	android content 
free strbuf 	context android 
detach xcalloc close 	graphics 
buffer binary 	bitmap android 
grab blob buffer 	graphics bitmap 
binary free 	factory 
show combined header 	android graphics 
free xcalloc 	canvas 
xcalloc mult oidcmp 	android graphics 
reuse combine 	pixel format 
diff combine diff 	android 
make hunks 	graphics drawable 
show combined header 	bitmap drawable 
dump sline 	android 
free free free 	graphics drawable 
free diff 	drawable xiecc 
line prefix show 	see 
log putchar 	weather application 
diff unique abbrev 	buffered reader 
diff unique 	buffered 
abbrev putchar 	writer input 
putchar write name 	stream 
quoted show 	output stream 
raw diff show 	file file 
patch diff 	output 
free free xmalloc 	stream file 
xcalloc hashcpy 	reader file 
oid hashcpy oid 	writer 
xcalloc combined 	input stream 
pair format callback 	output stream 
free combined 	random 
pair free diff 	access file 
sha diffcore 	serializable collections 
std intersect paths 	hash 
diffcore order 	map map 
diff flush alloc 	map 
strbuf init 	entry concurrent 
diff paths 	atomic atomic 
strbuf release free 	integer 
show log 	concurrent atomic 
commit format empty 	atomic json 
diff line 	json 
prefix copy pathspec 	json json 
diff opt 	android content 
diff opt clr 	context 
diff opt 	android graphics 
tst find paths 	bitmap android 
find paths 	graphics 
multitree diff sha 	bitmap factory 
diffcore std 	android 
diffcore order diff 	graphics canvas 
flush alloc 	android graphics 
order objects free 	pixel 
show raw 	format android 
diff handle combined 	graphics drawable 
callback diff 	bitmap 
line prefix 	drawable android 
show patch diff 	graphics drawable 
free free 	drawable 
pathspec saved parents 	xiecc see 
sha append 	weather application 
diff combined sha 	buffered 
clear paths 	reader buffered 
curr linked list 	writer 
queue sorted 	input stream 
order path queue 	output stream 
drop queue 	file 
path skip lines 	file output 
