adlist.c list 	abspath.c path 
chunk addr 	config strcmp git 
arena 	config colorbool 
miscelm pageind 	skip prefix parse 
offsetof arena 	branch color 
miscelm pageind 	slot config 
arena miscelm 	error nonbool color 
pageind offsetof 	parse git 
arena 	color config branch 
miscelm pageind 	branch upstream 
arena miscelm 	resolve refdup lookup 
pageind arena 	commit reference 
bitselm arena 	merge bases merge 
mapbitsp read 	bases warning 
arena 	warning free lookup 
mapbitsp arena 	commit reference 
mapbits arena 	error branch merged 
mapbits size 	error strbuf 
decode arena 	addf git config 
mapbits arena 	rename section 
mapbits 	warning strbuf release 
size decode 	die lookup 
arena mapbits 	commit reference die 
arena mapbits 	strbuf branchname 
arena mapbits 	strcmp error 
arena mapbits 	free mkpathdup resolve 
arena 	error check 
mapbits arena 	branch commit sha 
mapbits arena 	error find 
mapbits arena 	unique abbrev branch 
mapbitsp arena 	config free 
mapbitsp write 	branch stat tracking 
arena 	info shorten 
mapbits size 	unambiguous want color 
encode arena 	strbuf addf 
mapbitsp arena 	branch color branch 
mapbitsp read 	color strbuf 
arena mapbitsp 	addstr strbuf addf 
write 	strbuf addf 
arena mapbits 	strbuf addf strbuf 
size encode 	addf strbuf 
arena mapbitsp 	addf strbuf 
arena mapbitsp 	addf strbuf addf 
write arena 	strbuf addf 
mapbitsp 	strbuf release strbuf 
arena mapbitsp 	addch free 
write arena 	parse commit commit 
mapbits size 	easy fill 
encode arena 	tracking info strbuf 
mapbitsp arena 	addf find 
mapbitsp 	unique abbrev strbuf 
read arena 	release strbuf 
mapbits large 	release memset status 
size arena 	state strbuf 
mapbitsp write 	addf strbuf addf 
arena mapbitsp 	strbuf addf 
arena 	strbuf addf strbuf 
mapbitsp write 	addstr free 
atomic atomic 	free free strbuf 
sub atomic 	detach skip 
read cassert 	prefix strcmp 
cassert likely 	skip prefix head 
arena 	description strbuf 
prof accum 	addf strlen utf 
impl cassert 	strwidth strbuf 
likely malloc 	addf branch color 
mutex arena 	branch color 
prof accum 	strbuf addf branch 
impl 	color branch 
malloc mutex 	color skip prefix 
unlock chunk 	strbuf addf 
addr extent 	verbose info column 
node arena 	active list 
arena mapbits 	append strbuf release 
arena 	strbuf release 
mapbits large 	free skip prefix 
arena mapbits 	skip prefix 
allocated arena 	utf strwidth memset 
mapbits small 	verify format 
runind arena 	filter refs 
miscelm 	calc maxwidth strlen 
arena miscelm 	sorting sort 
rpages arena 	format print item 
run miscelm 	clear die 
arena miscelm 	strbuf check branch 
rpages jemalloc 	exists die 
ffs 	strcmp validate branchname 
likely cassert 	strbuf addf 
chunk addr 	rename die strbuf 
likely arena 	release warning 
mapbits likely 	strcmp create symref 
arena miscelm 	die strbuf 
atomic 	addf strbuf release 
read huge 	strbuf addf 
prof tctx 	strbuf release git 
cassert chunk 	config rename 
addr likely 	section die strbuf 
arena mapbits 	release strbuf 
allocated 	release read 
unlikely arena 	branch desc strbuf 
mapbits large 	addch strbuf 
arena miscelm 	commented addf write 
atomic write 	file gently 
arena mapbits 	git path strbuf 
large 	release error 
huge prof 	strerror strbuf reset 
tctx cassert 	launch editor 
unlikely chunk 	git path strbuf 
addr likely 	release strbuf 
arena mapbits 	stripspace strbuf addf 
allocated 	git config 
arena mapbits 	strbuf release strbuf 
large arena 	release memset 
miscelm atomic 	strcmp usage options 
write huge 	git config 
prof tctx 	resolve refdup 
reset 	die strcmp skip 
arena choose 	prefix die 
unlikely likely 	parse options usage 
likely tcache 	options finalize 
alloc small 	colopts explicitly enable 
arena malloc 	column die 
small 	die branches print 
likely likely 	list print 
tcache alloc 	columns list clear 
large arena 	die die 
malloc large 	strbuf addf exists 
huge malloc 	strbuf release 
chunk 	error error strbuf 
addr likely 	release edit 
extent node 	branch description die 
arena huge 	rename branch 
aalloc chunk 	rename branch die 
addr likely 	branch die 
arena 	strcmp die 
mapbits allocated 	die exists die 
arena mapbits 	create branch 
binind unlikely 	branch die strcmp 
arena mapbits 	die die 
large arena 	branch merge config 
mapbits 	die strbuf 
large size 	addf git config 
arena mapbits 	multivar strbuf 
dirty arena 	reset strbuf addf 
mapbits dirty 	git config 
arena mapbits 	multivar strbuf release 
large 	branch strcmp 
arena ptr 	die die die 
small binind 	strbuf addf 
arena mapbits 	exists strbuf release 
index size 	exists create 
huge salloc 	branch usage options 
chunk 	called branched 
addr likely 	orig tries 
arena mapbits 	infer settings branch 
arena mapbits 	remote merge 
allocated likely 	config branching existing 
likely arena 	branch unique 
ptr 	completion good real 
small binind 	branch builtin 
tcache dalloc 	git branch copyright 
small arena 	kristian gsberg 
dalloc small 	krh redhat git 
extent node 	branch junio 
arena 	hamano plain remote 
arena mapbits 	local current 
large size 	upstream checks whether 
likely tcache 	merge bases 
dalloc large 	branch head branch 
arena dalloc 	branch builds 
large 	upon contains branch 
extent node 	means branch 
arena huge 	already merged 
dalloc chunk 	safely head branch 
addr likely 	safety valve 
arena mapbits 	fully redefined check 
allocated 	upstream otherwise 
arena mapbits 	head result merge 
large arena 	bases without 
mapbits large 	following code transition 
size arena 	period gentle 
salloc likely 	reminder order subsequent 
likely 	messages translators 
size index 	make sure match 
tcache dalloc 	head detached 
small arena 	head detached status 
dalloc small 	ahead behind 
extent node 	vcs svn drop 
arena 	obj pool 
likely tcache 	listing remote branches 
dalloc large 	remote branches 
arena dalloc 	remotes prefix 
large extent 	need account width 
node arena 	sorting parameter 
huge 	given sorting refname 
dalloc maximum 	would give 
number regions 	alphabetically sorted head 
one run 	beginning followed 
minimum redzone 	local branches refs 
size redzones 	heads remote 
may 	tacking branches refs 
larger necessary 	remotes bad 
preserve region 	name could attempt 
alignment minimum 	rename used 
ratio active 	allow created accident 
dirty pages 	command like 
per 	git branch currentbranch 
arena computed 	currentbranch cannot 
nactive dirty 	cause worktree 
mult ndirty 	become inconsistent head 
supposing dirty 	allow need 
mult less 	pass logmsg head 
times 	didn really 
many active 	move git branch 
pages dirty 	local also 
pages jemalloc 	shows head detached 
types index 	create branch 
bin run 	takes care setting 
associated 	tracking info 
number free 	making sure upstream 
regions run 	correct show 
per region 	instructions user gave 
allocated deallocated 	one branch 
bitmap element 	doesn exist locally 
chunk 	name remote 
map corresponds 	tracking branch branch.h 
one page 	create branch 
within chunk 	name force 
run address 	attr flag local 
size various 	origin remote 
flags 	strbuf branch name 
stored together 	branch functions 
bit layout 	acting information branches 
looks like 	creates branch 
assuming bit 	head branch currently 
system nnnnn 	name branch 
nnndumla 	name start name 
unallocated run 	name existing 
address first 	branch branch start 
last pages 	force enables 
unset pages 	overwriting existing non 
small 	head branch 
run page 	reflog creates reflog 
offset large 	branch track 
run page 	causes branch configured 
count first 	merge remote 
page unset 	branch start 
trailing 	name tracking branch 
pages binind 	validates requested 
small size 	branch may created 
binind invalid 	returning interpreted 
large size 	force indicates whether 
dirty unzeroed 	non head 
decommitted 	branches may overwritten 
large allocated 	non zero 
following example 	indicates force parameter 
bit patterns 	non zero 
three types 	branch already exists 
runs run 	contrary attr 
page 	caller interested verifying 
offset run 	update named 
size binind 	branch point potentially 
size large 	different commit 
objects binind 	merely asking change 
invalid care 	attribute named 
dumla 	branch tracking 
bit dumla 	upstream needswork needs 
bit unset 	split two 
unallocated clean 	separate functions longer 
ssssssss ssssssss 	run sanity 
sss dum 	information state working 
xxxxxxxx 	current branch 
xxxxxxxx xxxxxxxx 	merge head configure 
xxx uxxx 	local branch 
ssssssss ssssssss 	local downstream branch 
sss unallocated 	remote remote 
dirty ssssssss 	origin used git 
ssssssss 	branch upstream 
sss xxxxxxxx 	returns success read 
xxxxxxxx xxxxxxxx 	branch description 
xxxxxxxx ssssssss 	check branch main 
ssssssss sss 	worktree linked 
small pppppppp 	worktree die 
pppppppp 	message describing checkout 
pppnnnnn nnnd 	location bswap.h 
pppppppp pppppppp 	val val result 
pppnnnnn nnn 	result builtin 
pppppppp pppppppp 	constant swab builtin 
pppnnnnn nnnd 	constant bswap 
large 	builtin constant bswap 
ssssssss ssssssss 	git bswap 
sss xxxxxxxx 	git bswap make 
xxxxxxxx xxxxxxxx 	sure always 
xxxxxxxx large 	sane definition ntohl 
sampled size 	htonl libraries 
large 	define function call 
minclass ssssssss 	perform shifting 
ssssssss sssnnnnn 	bringing significant overhead 
nnn xxxxxxxx 	simple operation 
xxxxxxxx xxxxxxxx 	version compiler ought 
xxxxxxxx large 	optimize properly 
sampled 	constant values 
size large 	performance might improved 
minclass ssssssss 	cpu architecture 
ssssssss sss 	bit loads fast 
xxxxxxxx xxxxxxxx 	ntohl available 
xxxxxxxx xxxxxxxx 	otherwise fall back 
arena 	loads shifts 
chunk map 	portable faster architectures 
misc corresponds 	memory alignment 
one page 	issues builtin-fetch--tool.c buf 
within chunk 	show action 
like arena 	refname sha oldval 
chunk 	msg rla 
map bits 	name head note 
two separate 	verbose force 
arrays stored 	sha old sha 
within chunk 	oldh newh 
header order 	current updated msg 
improve 	head remote 
cache locality 	remote name 
linkage run 	remote nick local 
trees two 	name merge 
disjoint uses 	verbose force commit 
arena runs 	remote len 
avail 	note len sha 
arena run 	note kind 
conceptually uses 	keep signo remote 
linkage use 	name refs 
non full 	force merge len 
runs rather 	next single 
directly 	force merge local 
embedding linkage 	part retlen 
linkage list 	remote remote nick 
dirty runs 	refs verbose 
profile counters 	force buffer err 
used large 	len local 
runs 	name single force 
small region 	merge len 
run metadata 	reflist next 
jemalloc arena 	next colon remote 
structs arena 	result numrefs 
chunk header 	refs matchlen replacelen 
pointer 	found one 
arena owns 	remote lref colon 
chunk stored 	tail next 
within node 	eol sha namelen 
field whole 	sha rref 
used chunks 	remote result err 
rtree 	pass line 
support ivsalloc 	name namelen shown 
core debugging 	next rreflen 
map pages 	lrr argc argv 
within chunk 	prefix verbose 
keeps track 	force sopt arg 
free 	result filename 
large small 	result filename reflist 
first map 	remote result 
bias entries 	reflist strbuf 
omitted since 	read die errno 
chunk header 	strbuf detach 
need 	getenv snprintf warning 
tracked map 	update sha 
omission saves 	hex die sha 
header page 	info die 
common chunk 	show sha strncmp 
sizes dynamically 	show update 
sized 	env hashcmp show 
read information 	strncmp show 
associated element 	update env lookup 
arena bins 	commit reference 
stored separately 	lookup commit reference 
partly reduce 	strcpy find 
memory 	unique abbrev strcpy 
usage one 	find unique 
copy rather 	abbrev merge 
one per 	bases update env 
arena mainly 	update env 
avoid cacheline 	sha error lookup 
sharing 	commit reference 
run following 	gently strcmp strncmp 
layout pad 	strncmp strncmp 
redzone reg 	strlen strncmp sprintf 
offset region 	sprintf sprintf 
redzone redzone 	sha hex update 
region 	local unlink 
reg interval 	keep sigchain pop 
redzone redzone 	strlen strchr 
region nregs 	strncmp strlen xmemdupz 
redzone alignment 	sigchain push 
pad reg 	common atexit fgets 
interval 	isspace strlen 
least minimum 	strcmp die strcmp 
alignment reg 	strcmp directory 
size preserves 	strlen strlen 
alignment constraint 	xmalloc sprintf find 
depends alignment 	local name 
pad 	append fetch head 
either redzone 	isspace isspace 
size present 	isspace isspace strchr 
needed align 	putchar strchr 
reg offset 	strlen isspace strchr 
size regions 	strlen memcmp 
run 	sha hex isspace 
bin size 	strncmp putchar 
redzone size 	isspace strchrnul xcalloc 
interval regions 	isspace strchrnul 
reg size 	memcmp error free 
redzone size 	strcmp strcmp 
total 	strcmp error strcmp 
size run 	error git 
bin size 	path fetch head 
total number 	fopen error 
regions run 	strerror append 
bin size 	fetch head fclose 
metadata 	strcmp error 
used manipulate 	git path fetch 
bitmaps runs 	head fopen 
associated bin 	error strerror fetch 
offset first 	store fclose 
region run 	strcmp error strcmp 
bin 	stdin parse 
size operations 	reflist strcmp error 
runcur runs 	strcmp stdin 
stats require 	pick rref strcmp 
locked run 	error strcmp 
allocation deallocation 	stdin expand refs 
arena 	wildcard error 
may acquired 	storing glob glob 
holding one 	lref colon 
bin locks 	remote hierarchy name 
vise versa 	colon tail 
current run 	local next 
used 	eol name identical 
service allocations 	lref colon 
bin size 	yes match pass 
non full 	counts allocates 
runs used 	pass fills builtin.h 
looking existing 	git usage 
run 	git info shortlog 
runcur longer 	len fmt 
usable choose 	merge msg opts 
non full 	path mode 
run lowest 	sha sha valid 
memory policy 	buf buf 
tends 	size argc argv 
keep objects 	prefix argc 
packed well 	argv prefix argc 
also help 	argv prefix 
reduce number 	argc argv 
almost empty 	prefix argc argv 
chunks 	prefix argc 
bin statistics 	argv prefix argc 
arena index 	argv prefix 
within arenas 	argc argv prefix 
number threads 	argc argv 
currently assigned 	prefix argc argv 
arena 	prefix argc 
field arenas 	argv prefix argc 
three classes 	argv prefix 
arena operations 	argc argv prefix 
locking perspective 	argc argv 
assignment modifies 	prefix argc argv 
nthreads 	prefix argc 
arenas bin 	argv prefix argc 
related operations 	argv prefix 
bin locks 	argc argv prefix 
chunk run 	argc argv 
related operations 	prefix argc 
mutex 	argv prefix argc 
list tcaches 	argv prefix 
extant threads 	argc argv prefix 
associated arena 	argc argv 
stats merged 	prefix argc argv 
incrementally exit 	prefix argc 
opt 	argv prefix argc 
stats print 	argv prefix 
enabled prng 	argc argv prefix 
state cache 	argc argv 
index randomization 	prefix argc argv 
large allocation 	prefix argc 
pointers 	argv prefix argc 
order avoid 	argv prefix 
rapid chunk 	argc argv prefix 
allocation deallocation 	argc argv 
arena oscillates 	prefix argc argv 
right cusp 	prefix argc 
needing 	argv prefix 
chunk cache 	argc argv prefix 
recently freed 	argc argv 
chunk spare 	prefix argc argv 
left arena 	prefix argc 
chunk trees 	argv prefix argc 
deleted 	argv prefix 
one spare 	argc argv prefix 
chunk per 	argc argv 
arena rather 	prefix argc argv 
one spare 	prefix argc 
total order 	argv prefix argc 
avoid 	argv prefix 
interactions multiple 	argc argv prefix 
threads could 	argc argv 
make single 	prefix argc argv 
spare inadequate 	prefix argc 
minimum ratio 	argv prefix argc 
log 	argv prefix 
nactive ndirty 	argc argv 
currently executing 	prefix argc argv 
arena purge 	prefix argc 
number pages 	argv prefix argc 
active runs 	argv prefix 
huge 	argc argv prefix 
regions current 	argc argv 
count pages 	prefix argc argv 
within unused 	prefix argc 
runs potentially 	argv prefix argc 
dirty madvise 	argv prefix 
madv 	argc argv prefix 
dontneed called 	argc argv 
tracking institute 	prefix argc argv 
limit much 	prefix argc 
dirty unused 	argv prefix argc 
memory mapped 	argv prefix 
arena 	argc argv 
size address 	prefix argc argv 
ordered arena 	prefix argc 
available runs 	argv prefix argc 
used first 	argv prefix 
best fit 	argc argv prefix 
run 	argc argv 
allocation unused 	prefix argc argv 
dirty memory 	prefix argc 
arena manages 	argv prefix argc 
dirty memory 	argv prefix 
conceptually tracked 	argc argv prefix 
arbitrarily 	argc argv 
interleaved lru 	prefix argc argv 
dirty runs 	prefix argc 
cached chunks 	argv prefix argc 
list linkage 	argv prefix 
actually semi 	argc argv prefix 
duplicated 	argc argv 
order avoid 	prefix argc 
extra arena 	argv prefix argc 
chunk map 	argv prefix 
misc space 	argc argv prefix 
overhead lru 	argc argv 
mru 	prefix argc argv 
arena chunk 	prefix argc 
chunks cache 	argv prefix argc 
node run 	argv prefix 
run runs 	argc argv prefix 
dirty extant 	argc argv 
huge 	prefix argc argv 
allocations synchronizes 	prefix argc 
huge allocation 	argv prefix argc 
update deallocation 	argv prefix 
trees chunks 	argc argv prefix 
previously allocated 	argc argv 
trees 	prefix argc argv 
differ node 	prefix argc 
ordering used 	argv prefix 
allocating chunks 	argc argv prefix 
attempt use 	argc argv 
address space 	prefix argc argv 
depending 	prefix argc 
function different 	argv prefix argc 
orderings needed 	argv prefix 
two trees 	argc argv prefix 
contents cache 	argc argv 
nodes allocated 	prefix argc argv 
via 	prefix argc 
alloc user 	argv prefix argc 
configurable chunk 	argv prefix 
hook functions 	argc argv prefix 
bins used 	argc argv 
store trees 	prefix argc argv 
free 	prefix argc 
regions jemalloc 	argv prefix argc 
arena structs 	argv prefix 
jemalloc structs 	argc argv 
number arena 	prefix argc argv 
chunk header 	prefix bulk-checkin.c 
pages 	pack compression level 
max run 	pack tmp 
size arenas 	name offset pack 
max large 	idx opts 
size number 	written alloc written 
large size 	written state 
classes 	oid packname state 
number huge 	sha stream 
size classes 	pack state flags 
jemalloc externs 	deflate pack 
jemalloc arena 	index bulk checkin 
freeing pointer 	close unlink 
lower 	sha close sha 
region zero 	close fixup 
cause assertion 	pack header footer 
failure avoid 	close strbuf 
division variable 	addf directory 
divisor possible 	finish tmp packfile 
actual 	free free 
division reduce 	memset strbuf release 
allocator throughput 	reprepare packed 
rescale factor 	git sha file 
powers numerator 	hashcmp create 
denominator divisor 	tmp packfile reset 
power 	pack idx 
divide number 	option write pack 
power two 	header die 
multiply right 	errno finish bulk 
shift positions 	checkin copyright 
becomes interval 	google inc make 
invs 	objects wrote 
size inv 	available may already 
shift omit 	exist repository 
first three 	might want 
elements never 	keep list sorted 
divide powers 	need keep 
two 	read contents size 
handled tctx 	bytes streaming 
must always 	packfile state updating 
initialized large 	hash ctx 
runs surrounding 	signal failure returning 
conditional logic 	negative resulting 
equivalent 	pack would exceed 
checking whether 	pack size 
ptr refers 	limit first pack 
large run 	caller discard 
initialize tcache 	wrote current pack 
checking size 	truncating opening 
order 	one caller call 
avoid infinite 	rewinding input 
recursion tcache 	already hashed pointer 
initialization size 	kept untouched 
allocation pointed 	caller make 
ptr large 	sure hash called 
allocation 	way caller 
common demote 	checkpoint hash status 
function callers 	calling ask 
end looking 	call pack would 
binind determine 	bust size 
ptr small 	limit lazily create 
allocation 	backing packfile 
small allocation 	state pretend going 
possibly promoted 	write one 
large small 	note idx non 
allocation make 	writing writing 
sure use 	current pack make 
promoted 	big need 
size request 	truncate start pack 
size small 	write bulk-checkin.h 
allocation jemalloc 	index bulk checkin 
arena jemalloc 	copyright google 
inlines asciilogo.h 	inc bundle.c 
ascii 	bundle signature sha 
logo copyright 	name list 
salvatore sanfilippo 	header report path 
antirez gmail 	buf status 
dot rights 	sha prereq path 
reserved redistribution 	header path 
use 	quiet header argc 
source binary 	argv header 
forms without 	verbose revs argv 
modification permitted 	refs commit 
provided following 	req message header 
conditions met 	argc argv 
redistributions 	tag revs size 
source code 	line lineend 
must retain 	date result bundle 
copyright notice 	revs pack 
list conditions 	objects bundle revs 
following disclaimer 	argc argv 
redistributions 	rls buf 
binary form 	rls fout sha 
must reproduce 	bundle revs 
copyright notice 	count oid display 
list conditions 	flag one 
following 	obj header path 
disclaimer documentation 	argc argv 
materials provided 	bundle bundle stdout 
distribution neither 	count revs 
name redis 	header bundle flags 
names contributors 	argv index 
may 	pack alloc grow 
used endorse 	hashcpy xstrdup 
promote products 	strbuf getwholeline strcmp 
derived software 	error strbuf 
without specific 	getwholeline strbuf strbuf 
prior written 	rtrim sha 
permission 	hex isspace 
software provided 	error list list 
copyright holders 	close strbuf 
contributors express 	release open error 
implied warranties 	parse bundle 
including limited 	header open memset 
implied 	parse bundle 
warranties merchantability 	header close strcmp 
fitness particular 	sha hex 
purpose disclaimed 	init revisions parse 
shall copyright 	pending error 
owner contributors 	error sha hex 
liable 	setup revisions 
direct indirect 	prepare revision walk 
incidental special 	die revision 
exemplary consequential 	error error oid 
damages including 	hex clear 
limited procurement 	commit marks free 
substitute 	list refs 
goods services 	list refs 
loss use 	list refs read 
data profits 	sha file 
business interruption 	memmem memchr memchr 
however caused 	strtoul free 
theory 	argv pushl start 
liability whether 	command error 
contract strict 	write die write 
liability tort 	die oid 
including negligence 	hex write die 
otherwise arising 	close finish 
way 	command error argv 
use software 	pushl argv 
even advised 	push start command 
possibility damage 	xfdopen strbuf 
async.c cmd 	getwholeline write die 
len key 	sha hex 
privdata 	parse die pending 
src dup 	sha hex 
privdata key 	parse die 
key privdata 	strbuf release fclose 
key privdata 	finish command 
val callback 	error dwim strlen 
dict 	read full 
port port 	tag date range 
source addr 	warning oidcmp 
path list 	lookup commit reference 
source list 	parse die 
target reply 	pending write die 
reply 	oid hex 
dstcb callbacks 	write die write 
pvariant stype 	die strlen 
sname reply 	write die free 
status done 	write die 
start str 	strcmp hold file 
len 	update dup 
privdata cmd 	die errno write 
len pvariant 	die strlen 
hasnext cstr 	init revisions 
astr clen 	compute write prerequisites 
alen sname 	setup revisions 
privdata 	error duplicates write 
format cmd 	bundle refs 
len status 	die write pack 
privdata format 	data commit 
status privdata 	file die errno 
argc argv 	verify bundle 
argvlen 	run command error 
cmd len 	bundle header 
status dict 	begins signature bundle 
gen hash 	header ends 
function sdslen 	empty line tip 
malloc memcpy 	lines name 
sdslen 	refname prerequisites name 
sdslen memcmp 	optionally followed 
sdsfree free 	subject line 
realloc dict 	remember update flag 
create dict 	allocation fast 
create redis 	check prereqs missing 
connect 	line line 
non block 	verbose errors write 
redis initialize 	pack data 
redis free 	bundle close write 
redis copy 	bundle refs 
error redis 	tips already parsed 
connect 	revs pending 
bind non 	side effect may 
block redis 	manipulate revs 
initialize redis 	pending include additional 
copy error 	necessary objects 
redis connect 	like tags returns 
unix 	number refs 
non block 	written negative error 
redis initialize 	make sure 
redis free 	refs wrote 
redis copy 	correct max count 
error write 	limiting options 
malloc 	could prevented tips 
memcpy memcpy 	getting output 
free redis 	non commit objects 
shift callback 	tags blobs 
redis run 	issue affected extra 
callback redis 	constraints run 
shift 	git bundle create 
callback redis 	bndl name 
run callback 	positive commit referenced 
dict iterator 	tag tag 
dict next 	positive end range 
redis run 	expressed terms 
callback 	tag range need 
dict entry 	include name 
val dict 	independent pack objects 
release iterator 	input tag 
dict release 	included output 
dict iterator 	otherwise would end 
dict 	triggering empty 
next redis 	bundle error end 
run callback 	header write 
dict entry 	pack data close 
val dict 	passed commit 
release iterator 	file also close 
dict 	lockfile make 
release cleanup 	copy file descriptor 
disconnect disconnect 	avoid trying 
redis free 	close twice write 
redis free 	signature init 
redis copy 	revs list objects 
error 	pack objects 
redis shift 	later write prerequisites 
callback redis 	write pack 
free redis 	basic handler bundle 
disconnect tolower 	files connect 
sdsnewlen dict 	repositories via 
find 	sneakernet invocation must 
memcpy dict 	include action 
entry val 	function create bundle 
strcasecmp dict 	provide information 
sdsfree redis 	existing bundle supporting 
shift callback 	fetch pull 
redis 	remote builtin bundle 
reply sdslen 	usage argc 
redis disconnect 	argv prefix header 
redis push 	cmd bundle 
callback redis 	file bundle buffer 
shift callback 	usage snprintf 
snprintf 	memset strcmp read 
free redis 	bundle header 
disconnect redis 	strcmp close usage 
subscribe callback 	verify bundle 
redis run 	strcmp close list 
callback free 	bundle refs 
redis 	strcmp usage 
free free 	die create bundle 
redis disconnect 	strcmp die 
redis check 	unbundle list bundle 
socket error 	refs usage 
connect redis 	bundle header begins 
disconnect 	signature bundle 
connect redis 	header ends empty 
handle connect 	line tip 
redis buffer 	lines name refname 
read redis 	prerequisites name 
disconnect read 	optionally followed subject 
redis 	line remember 
process callbacks 	update flag allocation 
redis handle 	fast check 
connect redis 	prereqs missing line 
buffer write 	line verbose 
redis disconnect 	errors write 
write 	pack data bundle 
del write 	close write 
read strchr 	bundle refs tips 
strtol strchr 	already parsed 
next argument 	revs pending side 
tolower strncasecmp 	effect may 
next 	manipulate revs pending 
argument sdsnewlen 	include additional 
dict replace 	necessary objects like 
dict replace 	tags returns 
strncasecmp strncasecmp 	number refs written 
redis push 	negative error 
callback 	make sure refs 
redis push 	wrote correct 
callback redis 	max count limiting 
push callback 	options could 
redis append 	prevented tips getting 
command write 	output non 
redisv 	commit objects 
format command 	tags blobs issue 
redis command 	affected extra 
free start 	constraints run git 
redisv command 	bundle create 
end redis 	bndl name positive 
format 	commit referenced 
command argv 	tag tag positive 
redis command 	end range 
free copyright 	expressed terms tag 
salvatore sanfilippo 	range need 
antirez gmail 	include name independent 
dot 	pack objects 
copyright pieter 	input tag included 
noordhuis pcnoordhuis 	output otherwise 
gmail dot 	would end triggering 
rights reserved 	empty bundle 
redistribution use 	error end header 
source 	write pack 
binary forms 	data close 
without modification 	passed commit file 
permitted provided 	also close 
following conditions 	lockfile make copy 
met redistributions 	file descriptor 
source 	avoid trying close 
code must 	twice write 
retain copyright 	signature init revs 
notice list 	list objects 
conditions following 	pack objects later 
disclaimer redistributions 	write prerequisites 
binary 	write pack basic 
form must 	handler bundle 
reproduce copyright 	files connect repositories 
notice list 	via sneakernet 
conditions following 	invocation must include 
disclaimer documentation 	action function 
materials 	create bundle provide 
provided distribution 	information existing 
neither name 	bundle supporting 
redis names 	fetch pull remote 
contributors may 	bundle.c bundle 
used endorse 	signature sha name 
promote 	list header 
products derived 	report path buf 
software without 	status sha 
specific prior 	prereq path header 
written permission 	path quiet 
software provided 	header argc argv 
copyright 	header verbose 
holders contributors 	revs argv refs 
express implied 	commit req 
warranties including 	message header argc 
limited implied 	argv tag 
warranties merchantability 	revs size line 
fitness 	lineend date 
particular purpose 	result bundle 
disclaimed shall 	revs pack objects 
copyright owner 	bundle revs 
contributors liable 	argc argv rls 
direct indirect 	buf rls 
incidental 	fout sha bundle 
special exemplary 	revs count 
consequential damages 	oid display flag 
including limited 	one obj 
procurement substitute 	header path argc 
goods services 	argv bundle 
loss 	bundle stdout count 
use data 	revs header 
profits business 	bundle flags argv 
interruption however 	index pack 
caused theory 	alloc grow hashcpy 
liability whether 	xstrdup strbuf 
contract 	getwholeline strcmp error 
strict liability 	strbuf getwholeline 
tort including 	strbuf strbuf 
negligence otherwise 	rtrim sha hex 
arising way 	isspace error 
use software 	list list close 
even 	strbuf release 
advised possibility 	open error parse 
damage forward 	bundle header 
declaration function 	open memset parse 
hiredis functions 	bundle header 
managing dictionary 	close strcmp sha 
callbacks 	hex init 
pub sub 	revisions parse pending 
regular connect 	error error 
functions always 	sha hex setup 
flag redis 	revisions prepare 
connected api 	revision walk die 
want 	revision error 
wait first 	error oid hex 
write received 	clear commit 
setting flag 	marks free 
reset want 	list refs list 
error field 	refs list 
accessible 	refs read sha 
directly instead 	file memmem 
requiring indirection 	memchr memchr strtoul 
redis context 	free argv 
common way 	pushl start command 
detect established 	error write 
connection 	die write die 
wait first 	oid hex 
write fired 	write die close 
assumes related 	finish command 
library functions 	error argv pushl 
already helper 	argv push 
functions 	start command xfdopen 
push shift 	strbuf getwholeline 
callbacks copy 	write die sha 
callback stack 	hex parse 
heap store 	die pending 
callback list 	sha hex parse 
copy 	die strbuf 
callback heap 	release fclose finish 
stack helper 	command error 
function free 	dwim strlen read 
context execute 	full tag 
pending callbacks 	date range warning 
reply 	oidcmp lookup 
execute callbacks 	commit reference parse 
invalid commands 	die pending 
run subscription 	write die oid 
callbacks callbacks 	hex write 
reply signal 	die write die 
lib 	strlen write 
clean execute 	die free write 
disconnect callback 	die strcmp 
redis free 	hold file 
initiated destroying 	update dup die 
context status 	errno write 
always 	die strlen init 
redis cleanup 	revisions compute 
self free 	write prerequisites setup 
context function 	revisions error 
called callback 	duplicates write bundle 
control needs 	refs die 
returned 	write pack data 
redis process 	commit file 
callbacks actual 	die errno verify 
free ing 	bundle run 
flag context 	command error bundle 
picked redis 	header begins 
process 	signature bundle header 
callbacks otherwise 	ends empty 
context immediately 	line tip lines 
free helper 	name refname 
function make 	prerequisites name 
disconnect happen 	optionally followed subject 
clean 	line remember 
make sure 	update flag allocation 
error accessible 	fast check 
clean disconnects 	prereqs missing line 
pending callbacks 	line verbose 
disconnection caused 	errors write pack 
error 	data bundle 
make sure 	close write bundle 
pending callbacks 	refs tips 
cannot call 	already parsed revs 
commands non 	pending side 
clean disconnects 	effect may manipulate 
redis 	revs pending 
free execute 	include additional necessary 
pending callbacks 	objects like 
reply tries 	tags returns number 
clean disconnect 	refs written 
redis meaning 	negative error 
stops 	make sure refs 
commands issued 	wrote correct 
tries flush 	max count limiting 
output buffer 	options could 
execute callbacks 	prevented tips getting 
remaining replies 	output non 
function 	commit objects tags 
called callback 	blobs issue 
might replies 	affected extra constraints 
safely defer 	run git 
disconnecting redis 	bundle create bndl 
process callbacks 	name positive 
otherwise 	commit referenced tag 
