AboutActivity.java saved 	abspath.c path 
xiecc see 	sha stat xstrdup 
weather 	ouc size 
modules adatper 	strlen decode varint 
city 	ewah ewah 
adapter xiecc 	ewah alloc read 
see weather 	one dir 
modules 	ewah read mmap 
manager xiecc 	ewah read 
see weather 	mmap ewah read 
modules 	mmap ewah 
weather xiecc 	bit ewah bit 
see weather 	ewah bit 
modules 	free ewah free 
domain city 	ewah free 
xiecc see 	ewah free free 
weather 	untracked cache 
modules domain 	strchr lookup 
province 	untracked invalidate one 
xiecc see 	component invalidate 
weather modules 	one directory invalidate 
domain 	one directory 
setting list 	invalidate one component 
list concurrent 	strlen untracked 
time 	cache invalidate path 
unit observable 	untracked cache 
observer subscriber 	invalidate path handles 
android 	recursive filename 
schedulers android 	detection exclude files 
schedulers functions 	index knowledge 
func 	etc see documentation 
functions func 	technical api 
schedulers 	directory listing txt 
schedulers android 	copyright linus 
content intent 	torvalds junio hamano 
android 	tells read 
bundle android 	directory recursive 
support design 	file directory treated 
widget 	values ordered 
collapsing toolbar 	significance directory contains 
layout android 	excluded untracked 
support 	files listed untracked 
content context 	path untracked 
compat android 	path excluded support 
support 	data structure 
widget content 	opendir readdir closedir 
loading 	wrappers helper 
progress bar 	functions support ignore 
android support 	flag wildmatch 
widget 	learned fnm pathname 
linear layout 	mode yet 
manager android 	icase path treated 
support 	pathspec full 
widget recycler 	wildcard words prefix 
view android 	considered common 
support 	prefix pathspec 
widget toolbar 	abc foo abc 
android log 	bar running 
android 	subdir xyz common 
view key 	prefix still 
android 	xyz xuz abc 
view view 	non icase 
android widget 	returns copy longest 
image 	leading path 
view android 	common among pathspecs 
widget progress 	calculate common 
bar 	prefix pathspec use 
bumptech glide 	optimize directory 
glide bumptech 	walk read directory 
glide 	prune match 
load engine 	match given name 
disk cache 	match found 
strategy 	match leading directory 
xiecc see 	name match 
weather 	wildcard matches 
xiecc see 	name match exactly 
weather activity 	name tells 
xiecc 	returns match name 
see weather 	namelen prefix 
common log 	cut caller normal 
xiecc 	call pattern 
see weather 	prefix common prefix 
modules adatper 	len prune 
city 	something fill directory 
adapter xiecc 	match pathspec 
see weather 	prefix may shorter 
modules 	command prefix 
manager xiecc 	match extra files 
see 	extras trimmed 
weather modules 	suppose pathspec foo 
weather xiecc 	bar running 
see 	subdir xyz 
weather modules 	common prefix empty 
domain city 	thanks may 
xiecc 	xyz foo xyz 
see weather 	foo user 
modules domain 	want xyz foo 
province 	foo part 
xiecc see 	insensitive need filter 
weather modules 	xyz foo 
domain 	words trust caller 
setting list 	comparing prefix 
list 	part icase involved 
concurrent time 	exact comparison 
unit observable 	normally caller common 
observer 	prefix len 
subscriber android 	fact exact matching 
schedulers android 	name prefix 
schedulers 	need check part 
functions func 	defensive check 
functions func 	anyway common 
schedulers 	prefix len changed 
schedulers android 	caller introduced 
content intent 	use common prefix 
android 	len penalty 
bundle android 	turns high prefix 
support 	really maybe 
design widget 	change strncmp match 
collapsing toolbar 	name item 
layout 	prefix prefix match 
android support 	prefix matched 
content context 	given name list 
compat 	pathspecs returns 
android support 	nature closest specific 
widget content 	match name 
loading 	pathspecs caller typically 
progress bar 	calls multiple 
android support 	times pathspec seen 
widget 	different name 
linear layout 	namelen entries 
manager 	index interested seeing 
android support 	pathspec matches 
widget recycler 	names calls function 
view 	mark left 
android support 	seen pathspec element 
widget toolbar 	indicating closest 
android 	type match element 
log android 	achieved seen 
view key 	remains zero multiple 
android 	invocations means 
view view 	nth pathspec match 
android widget 	names could 
image 	indicate user mistyped 
view android 	nth pathspec 
widget 	make exclude patterns 
progress bar 	optional never 
bumptech glide 	report pathspec exclude 
glide 	foo matches 
bumptech glide 	files make 
load engine 	sure pathspec matched 
disk 	otherwise error 
cache strategy 	caller might fed 
xiecc see 	identical pathspec 
weather 	twice barf mistake 
xiecc see 	fixme parse 
weather activity 	pathspec eliminated duplicate 
xiecc 	pathspec match 
see weather 	already length simple 
common 	part path 
log xiecc 	match limiter excluded 
see weather 	trailing slash 
modules 	one allocation instead 
adatper city 	make sure 
adapter xiecc 	nowildcardlen exceed real 
see 	patternlen frees 
weather modules 	memory within 
manager xiecc 	allocated exclude patterns 
see 	file buffer 
weather modules 	free fallthrough given 
weather xiecc 	subdirectory name 
see 	dir current directory 
weather modules 	search subdir 
domain 	dir create one 
city xiecc 	exist dir 
see weather 	name trailing slash 
modules 	excluded search 
domain province 	given file name 
xiecc see 	fname read 
weather 	either disk index 
modules domain 	check index 
setting list 	non zero parse 
list 	store exclude 
concurrent time 	rules compute sha 
unit observable 	exclude file 
observer 	fill stat 
subscriber android 	data disk valid 
schedulers 	excludes returns 
android schedulers 	zero valid non 
functions func 	zero must 
functions 	contain good input 
func schedulers 	content change 
schedulers android 	sha still good 
content 	used core 
intent android 	excludesfile git info 
bundle android 	exclude lists 
support 	setup standard excludes 
design widget 	called dir 
collapsing toolbar 	untracked assigned function 
layout 	behaves differently 
android support 	dir untracked non 
content 	see validate 
context compat 	untracked cache matching 
android support 	fooliteral match 
widget 	fnm pathname 
content loading 	pattern implicitly front 
progress bar 	baselen count 
android 	trailing slash may 
support widget 	may end 
linear layout 	trailing slash though 
manager 	non wildcard 
android support 	part longer remaining 
widget recycler 	pathname surely 
view 	cannot match whole 
android support 	pattern wildcard 
widget 	prefix match need 
toolbar android 	need call 
log android 	fnmatch scan given 
view 	exclude list 
key android 	reverse see whether 
view view 	pathname ignored 
android 	first match last 
widget image 	list determines 
view android 	fate returns 
widget 	exclude list element 
progress bar 	matched undecided 
bumptech glide 	undecided undefined scan 
glide 	list last 
bumptech glide 	match determine fate 
load 	exclude include 
engine disk 	undecided undecided loads 
cache strategy 	per directory 
xiecc 	exclude list substring 
see weather 	length baselen 
xiecc see 	pop exclude lists 
weather 	excl dirs 
activity xiecc 	exclude list originate 
see weather 	directories prefix 
common 	path see strbuf 
log xiecc 	detach skip 
see weather 	traversing sub 
modules 	directories parent excluded 
adatper city 	lazy initialization 
adapter 	call sites currently 
xiecc see 	memset dir 
weather modules 	dir use changing 
manager 	seems lots 
xiecc see 	work little benefit 
weather modules 	read parent 
weather 	directories push abort 
xiecc see 	directory excluded 
weather modules 	read per directory 
domain 	file know 
city xiecc 	files added directory 
see weather 	valid cached 
modules 	dir executed untracked 
domain province 	valid gitignore 
xiecc 	exist exclude sha 
see weather 	skip loading 
modules domain 	gitignore would 
setting 	result enoent anyway 
list list 	dir basebuf 
concurrent time 	gets reused traversal 
unit 	need fname 
observable observer 	remain unchanged ensure 
subscriber android 	src member 
schedulers 	exclude correctly back 
android schedulers 	references source 
functions func 	file invocations exclude 
functions 	list provide 
func schedulers 	stable strbuf detach 
schedulers 	free caller 
android content 	needswork untracked cache 
intent android 	enabled prep 
bundle 	exclude first called 
android support 	valid cached 
design widget 	dir maybe many 
collapsing 	times last 
toolbar layout 	exclude matching 
android support 	cache used last 
content 	exclude matching 
context compat 	called reading gitignore 
android support 	content waste 
widget 	called valid cached 
content loading 	dir gitignore 
progress 	sha index gitignore 
bar android 	modified work 
support widget 	could delay reading 
linear 	gitignore content 
layout manager 	absolutely need last 
android support 	exclude matching 
widget 	careful ignore rule 
recycler view 	order though 
android support 	loads exclude lists 
widget 	directory containing 
toolbar android 	pathname scans exclude 
log 	lists determine 
android view 	whether pathname 
key android 	excluded returns exclude 
view 	list element 
view android 	matched undecided loads 
widget image 	exclude lists 
view 	directory containing pathname 
android widget 	scans exclude 
progress bar 	lists determine whether 
bumptech 	pathname excluded 
glide glide 	returns otherwise use 
bumptech glide 	alphabetically sorted 
load 	index look directory 
engine disk 	name instead 
cache 	use insensitive directory 
strategy xiecc 	hash index 
see weather 	sorts alphabetically entry 
xiecc 	name means 
see weather 	gitlink sorts end 
activity xiecc 	directory defined 
see 	entry files 
weather common 	contains sort end 
log xiecc 	find directory 
see 	traversing filesystem three 
weather modules 	distinct cases 
adatper city 	ignore see directory 
adapter 	recurse one 
xiecc see 	choose depends combination 
weather 	existing git 
modules manager 	index contents flags 
xiecc see 	passed directory 
weather 	traversal routine already 
modules weather 	entries index 
xiecc see 	directory name always 
weather 	recurse directory 
modules domain 	see files already 
city xiecc 	directory name 
see 	gitlink always 
weather modules 	see gitlink regardless 
domain province 	whether actual 
xiecc 	git directory might 
see weather 	subproject didn 
modules 	index previously sub 
domain setting 	cases show 
list list 	directories show directory 
concurrent 	unless hide 
time unit 	empty directories also 
observable observer 	need check 
subscriber 	contains untracked ignored 
android schedulers 	files looks 
android schedulers 	like git directory 
functions 	gitlinks treat 
func functions 	gitlink show directory 
func schedulers 	otherwise recurse 
schedulers 	len strip show 
android content 	directories inexact 
intent 	early pruning 
android bundle 	recursive directory reading 
android support 	path cannot 
design 	possibly pathspec skip 
widget collapsing 	early function 
toolbar layout 	tells whether excluded 
android 	path matches 
support content 	list interesting pathspecs 
context compat 	whether path 
android 	matched pathspecs could 
support widget 	possibly ignored 
content loading 	excluding specified path 
progress 	happen path 
bar android 	mentioned explicitly pathspec 
support 	path directory 
widget linear 	prefix element pathspec 
layout manager 	nobody actually 
android 	cares difference lnk 
support widget 	reg look 
recycler view 	directory always 
android 	exclude indexed files 
support widget 	looking directory 
toolbar android 	working three cases 
log 	exists index 
android view 	everything inside directory 
key android 	working needs 
view 	index exist index 
view android 	index know 
widget 	stay directory check 
image view 	contents index 
android widget 	know yet directory 
progress 	working killed 
bar bumptech 	need recurse exist 
glide glide 	index index 
bumptech 	require directory either 
glide load 	know everything 
engine disk 	inside killed without 
cache 	recursing excluded 
strategy xiecc 	explicitly want 
see weather 	show ignored files 
xiecc 	ignore treat 
see weather 	one path calls 
activity 	treat directory 
xiecc see 	check result treat 
weather common 	directory getting 
log 	bottom verify directories 
xiecc see 	check path 
weather modules 	recurse first run 
adatper 	directory exists 
city adapter 	index returns index 
xiecc see 	nonexistent sure 
weather 	changes index impact 
modules manager 	outcome prep 
xiecc see 	exclude called eventually 
weather 	directory called 
modules weather 	much later 
xiecc 	last exclude matching 
see weather 	need determine 
modules domain 	validity cache path 
city 	next calls 
xiecc see 	nearly way prep 
weather modules 	exclude designed 
domain 	hopefully prep exclude 
province xiecc 	haven invalidated 
see weather 	entry gone directory 
modules 	found untracked 
domain setting 	entries mark valid 
list list 	read directory 
concurrent 	currently ignore anything 
time unit 	directories regular 
observable 	files symlinks git 
observer subscriber 	doesn handle 
android schedulers 	yet maybe change 
android 	day also 
schedulers functions 	ignore name 
func functions 	git even directory 
func 	likely change 
schedulers schedulers 	returns significant path 
android content 	treatment encountered 
intent 	scan check file 
android bundle 	directory treated 
android support 	recurse subdir instructed 
design 	treat path 
widget collapsing 	abort early maximum 
toolbar 	state reached 
layout android 	skip dir part 
support content 	path appropriate 
context 	result list recurse 
compat android 	finished checking 
support widget 	previous git versions 
content 	may saved 
loading progress 	many nul separated 
bar android 	ident field 
support 	insane manage 
widget linear 	many locations take 
layout manager 	care first 
android 	one strbuf used 
support widget 	contain list 
recycler 	nul separated save 
view android 	nul backward 
support widget 	compatibility flags used 
toolbar 	git status 
android log 	support git dir 
android view 	info exclude 
key 	core excludesfile ignore 
android view 	rule files 
view android 	additions command line 
widget 	invalidate cache 
image view 	condition also catches 
android widget 	running setup 
progress 	standard excludes setting 
bar bumptech 	dir untracked 
glide 	optimize main 
glide bumptech 	use whole git 
glide load 	status work 
engine 	involved treat leading 
disk cache 	path use 
strategy xiecc 	cache subset worktree 
see 	pathspec support 
weather xiecc 	could make matter 
see weather 	even worse 
activity 	different flags may 
xiecc see 	produce different 
weather common 	results see treat 
log 	directory index 
xiecc see 	nonexistent without flag 
weather 	may need 
modules adatper 	also cache git 
city adapter 	file content 
xiecc 	resolve gitlink 
see weather 	call support collecting 
modules manager 	ignore files 
xiecc 	use gitignore cache 
see weather 	change gitexclude 
modules weather 	everything wrong exc 
xiecc 	cmdl considered 
see weather 	cache people skip 
modules domain 	cache validate 
city 	git dir info 
xiecc see 	exclude core 
weather 	excludesfile make sure 
modules domain 	directory dropped 
province xiecc 	saving phase check 
see 	create simplify 
weather modules 	exclude patterns treated 
domain setting 	like positive 
list 	ones create simplify 
list concurrent 	usually exclude 
time unit 	patterns subset 
observable 	positive ones impacts 
observer subscriber 	create simplify 
android schedulers 	make sure untracked 
android 	cache code 
schedulers functions 	path disabled prep 
func 	exclude given 
functions func 	two normalized paths 
schedulers schedulers 	trailing slash 
android 	subdir outside dir 
content intent 	otherwise offset 
android bundle 	subdir used relative 
android 	path dir 
support design 	hel hel yeah 
widget collapsing 	dir foo 
toolbar 	foo foo bar 
layout android 	foo descend 
support content 	nuke nested git 
context 	work empty 
compat android 	dir could 
support 	removable even unreadable 
widget content 	file disappeared 
loading progress 	wanted anyway fall 
bar 	thru happy 
android support 	happy path stat 
widget linear 	fails non 
layout 	directory still exists 
manager android 	report uplevel 
support widget 	error rmdir directory 
recycler 	core excludefile 
view android 	defaulting xdg home 
support widget 	git ignore 
toolbar 	per repository user 
android log 	preference frees 
android 	memory within dir 
view key 	allocated exclude 
android view 	lists exclude stack 
view 	free dir 
android widget 	number written 
image view 	untracked cache dir 
android 	untracked cache 
widget progress 	dir untracked cache 
bar bumptech 	dir exclude 
glide 	sha untracked reset 
glide bumptech 	whenever valid 
glide load 	clear safety skip 
engine 	non recurse 
disk cache 	directories safe guard 
strategy 	lists nul 
xiecc see 	exclude per dir 
weather xiecc 	covered ouc 
see 	normally entry added 
weather activity 	removed directory 
xiecc see 	invalidating directory enough 
weather 	need touch 
common log 	ancestors directory shown 
xiecc see 	foo bar 
weather 	git status 
modules adatper 	however deleting adding 
city adapter 	entry may 
xiecc 	cascading effect say 
see weather 	foo bar 
modules 	file become untracked 
manager xiecc 	need tell 
see weather 	untracked cache dir 
modules 	foo bar 
weather xiecc 	untracked directory bar 
see weather 	managed foo 
modules 	untracked file similarly 
domain city 	foo bar 
xiecc see 	file moves untracked 
weather 	tracked last 
modules domain 	untracked entry entire 
province xiecc 	foo show 
see 	foo instead 
weather modules 	means invalidate past 
domain 	bar foo 
setting list 	function traverses directories 
list concurrent 	root leaf 
time 	chance one cases 
unit observable 	happening invalidate 
observer subscriber 	back root otherwise 
android 	invalidate leaf 
schedulers android 	may sophisticated way 
schedulers functions 	checking show 
func 	directories detect cases 
functions func 	avoid unnecessary 
schedulers schedulers 	invalidation example checking 
android 	untracked entry 
content intent 	named bar foo 
android 	stick something 
bundle android 	safe simple dir.h 
support design 	len name 
widget 	pattern patternlen 
collapsing toolbar 	nowildcardlen baselen flags 
layout android 	srcpos alloc 
support 	filebuf src excludes 
content context 	prev baselen 
compat android 	exclude ucd alloc 
support 	stat sha 
widget content 	valid dirs untracked 
loading progress 	stat data 
bar 	untracked alloc dirs 
android support 	dirs alloc 
widget 	untracked exclude sha 
linear layout 	name info 
manager android 	exclude excludes file 
support 	exclude per 
widget recycler 	dir ident dir 
view android 	flags root 
support 	dir created gitignore 
widget toolbar 	invalidated dir 
android log 	invalidated dir 
android 	opened alloc ignored 
view key 	ignored alloc 
android 	entries ignored exclude 
view view 	per dir 
android widget 	exclude list exclude 
image 	stack exclude 
view android 	basebuf untracked info 
widget progress 	exclude excludes 
bar 	file unmanaged exclude 
bumptech glide 	files match 
glide bumptech 	pathspec pathspec name 
glide 	namelen prefix 
load engine 	seen dir matched 
disk cache 	pathspec prefix 
strategy 	name namelen depth 
xiecc see 	max depth 
weather 	dir pathspec dir 
xiecc see 	path len 
weather activity 	pathspec pathname 
xiecc 	pathlen basename dtype 
see weather 	dir pathname 
common log 	len dir name 
xiecc 	dtype dir 
see weather 	name dtype dir 
modules adatper 	type src 
city 	fname baselen check 
adapter xiecc 	index dir 
see weather 	fname patternlen flags 
modules 	nowildcardlen baselen 
manager xiecc 	srcpos dir dir 
see 	subdir dir 
weather modules 	name dir dir 
weather xiecc 	path flag 
see 	path count pattern 
weather modules 	flags item 
domain city 	pattern prefix 
xiecc 	pathspec seen ent 
see weather 	pathspec prefix 
modules domain 	seen trailing dir 
province 	len index 
xiecc see 	state index state 
weather modules 	index state 
domain 	untracked cache data 
setting list 	untracked istate 
list 	istate match pathspec 
concurrent time 	namelen isdir 
unit observable 	isgitlink match pathspec 
observer 	see documentation 
subscriber android 	technical api directory 
schedulers android 	listing txt 
schedulers 	allows callers last 
functions func 	exclude matching 
functions func 	etc determine origin 
schedulers 	matching pattern 
schedulers android 	counting starts 
content intent 	line numbers ignore 
android 	files decrementing 
bundle android 	patterns cli args 
support 	excludes file 
design widget 	parsed fresh exclude 
collapsing toolbar 	list appended 
layout 	relevant exclude list 
android support 	either exc 
content context 	dirs exc file 
compat 	exclude list 
android support 	within exc cmdl 
widget content 	exclude list 
loading 	also used represent 
progress bar 	list exclude 
android support 	values passed via 
widget 	cli args 
linear layout 	remember pointer exclude 
manager 	file contents 
android support 	free origin 
widget recycler 	list path filename 
view 	descriptive contents 
android support 	per directory exclude 
widget toolbar 	files lazily 
android 	read demand cached 
log android 	memory one 
view key 	per exclude stack 
android 	order avoid 
view view 	opening parsing one 
android widget 	every time 
image 	directory traversed exclude 
view android 	stack parent 
widget 	directory index exclude 
progress bar 	list within 
bumptech glide 	exc dirs exclude 
glide 	list untracked 
bumptech glide 	cache following inputs 
load engine 	sufficient determine 
disk 	files directory 
cache strategy 	excluded list files 
xiecc see 	directories directory 
weather 	question git dir 
xiecc see 	index dir 
weather activity 	flags content git 
xiecc 	dir info 
see weather 	exclude content core 
common 	excludesfile content 
log xiecc 	lack gitignore parent 
see weather 	directories git 
modules 	work check flag 
adatper city 	read directory 
adapter xiecc 	recursive dir hide 
see 	empty directories 
weather modules 	first input directory 
manager xiecc 	mtime many 
see 	filesystems directory 
weather modules 	mtime stat data 
weather xiecc 	field updated 
see 	files direct subdirs 
weather modules 	added removed 
domain 	second one hooked 
city xiecc 	cache invalidate 
see weather 	path whenever file 
modules 	submodule added 
domain province 	removed directory invalidate 
xiecc see 	directory remaining 
weather 	inputs easy sha 
modules domain 	could used 
setting list 	verify contents exclude 
list 	sha info 
concurrent time 	exclude sha excludes 
unit observable 	file sha 
observer 	data dirs good 
subscriber android 	sha means 
schedulers 	directory gitignore 
android schedulers 	dir flags must 
functions func 	match dir 
functions 	flags untracked cache 
func schedulers 	ignored statistics 
schedulers android 	exclude info maintain 
content 	three groups 
intent android 	exclude pattern lists 
bundle android 	exc cmdl 
support 	lists patterns explicitly 
design widget 	given command 
collapsing toolbar 	line exc dirs 
layout 	lists patterns 
android support 	obtained per directory 
content 	ignore files 
context compat 	exc file lists 
android support 	patterns fallback 
widget 	ignore files git 
content loading 	info exclude 
progress bar 	core excludesfile 
android 	contains multiple exclude 
support widget 	lists single 
linear layout 	list per source 
manager 	temporary variables 
android support 	used loading per 
widget recycler 	directory exclude 
view 	lists exclude stack 
android support 	points top 
widget 	exclude stack basebuf 
toolbar android 	contains full 
log android 	path current sub 
view 	directory traversal 
key android 	exclude points matching 
view view 	exclude directory 
android 	excluded enable untracked 
widget image 	file cache 
view android 	ordering constants significant 
widget 	higher numbered 
progress bar 	match types 
bumptech glide 	signifying closer specific 
glide 	matches lower 
bumptech glide 	numbered match types 
load 	populating seen 
engine disk 	implement matching logic 
cache strategy 	dir excluded 
xiecc 	list attr path 
see weather 	matches tries 
xiecc see 	path empty directories 
weather 	along ignores 
activity xiecc 	enoent prefix part 
see weather 	pattern must 
common 	contains wildcards dirent.c 
log xiecc 	dir handle 
see weather 	stat ent fdata 
modules 	name pattern 
adatper city 	fdata len dir 
adapter 	err dir 
xiecc see 	fdata lasterr 
weather modules 	dir xwcstoutf xutftowcs 
manager 	path dir 
xiecc see 	sep find first 
weather modules 	file last 
weather 	error err win 
xiecc see 	posix xmalloc 
weather modules 	finddata dirent find 
domain 	next file 
city xiecc 	finddata dirent last 
see weather 	error err 
modules 	win posix find 
domain province 	close free 
xiecc 	includes type find 
see weather 	first file 
modules domain 	handle index convert 
setting 	utf name 
list list 	utf file 
concurrent time 	type win find 
unit 	data convert 
observable observer 	name utf check 
subscriber android 	length max 
schedulers 	path append optional 
android schedulers 	wildcard open 
functions func 	find handle initialize 
functions 	dir structure 
func schedulers 	copy first dir 
schedulers 	entry errno 
android content 	mingw first entry 
intent android 	dirent already 
bundle 	opendir next entry 
android support 	convert win 
design widget 	find data dirent 
collapsing 	posix says 
toolbar layout 	shouldn errno readdir 
android support 	find files 
content 	another error 
context compat 	dirent.h type name 
android support 	dirname dir 
widget 	dir file type 
content loading 	prevent lstat 
progress 	readdir file name 
bar android 	utf conversion 
support widget 	dirent editor.c editor 
linear 	terminal terminal 
layout manager 	dumb path buffer 
android support 	env editor 
widget 	args ret sig 
recycler view 	getenv getenv 
android support 	strcmp getenv getenv 
widget 	git editor 
toolbar android 	error strcmp start 
log android 	command error 
view 	sigchain push sigchain 
key android 	push finish 
view 	command sigchain 
view android 	pop sigchain pop 
widget image 	error strbuf 
view 	read file error 
android widget 	strerror entry.c 
progress bar 	path path len 
bumptech 	state buf 
glide glide 	len path dir 
bumptech glide 	origlen path 
load 	mode size path 
engine disk 	tempfile symlink 
cache strategy 	state path filter 
xiecc 	state tempfile 
see weather 	fstat done statbuf 
xiecc 	result path 
see weather 	state tempfile mode 
activity xiecc 	ifmt ret 
see 	fstat done buf 
weather common 	size wrote 
log xiecc 	newsize filter 
see 	path len skiplen 
weather modules 	slash state 
adatper city 	topath path changed 
adapter 	xmallocz dirs 
xiecc see 	path mkdir unlink 
weather modules 	warn mkdir 
manager 	die errno free 
xiecc see 	opendir die 
weather 	errno readdir dot 
modules weather 	dotdot strbuf 
xiecc see 	addch strbuf addstr 
weather 	lstat die 
modules domain 	errno isdir subtree 
city xiecc 	unlink die 
see 	errno strbuf setlen 
weather modules 	closedir rmdir 
domain province 	die errno 
xiecc 	open read sha 
see weather 	file free 
modules domain 	xsnprintf mkstemp create 
setting 	file fstat 
list list 	reliable fstat open 
concurrent 	output stream 
time unit 	blob fstat output 
observable observer 	close unlink 
subscriber 	stream filter streaming 
android schedulers 	write entry 
android schedulers 	read blob entry 
functions 	error sha 
func functions 	hex symlink free 
func schedulers 	error strerror 
schedulers 	convert working free 
android content 	strbuf detach 
intent android 	open output free 
bundle 	error strerror 
android support 	write full 
design 	fstat output close 
widget collapsing 	free error 
toolbar layout 	error mkdir error 
android 	error lstat 
support content 	fill stat cache 
context compat 	info dirs 
android 	path lstat write 
support widget 	entry strbuf 
content loading 	reset strbuf strbuf 
progress 	namelen check 
bar android 	path match stat 
support 	isdir isgitlink 
widget linear 	error subtree unlink 
layout manager 	error strerror 
android 	create directories write 
support widget 	entry checkout 
recycler view 	index prefix dir 
android 	dir allowed 
support widget 	symlink existing 
toolbar android 	directory state dir 
log 	len test 
android view 	path components prefix 
key android 	stat function 
view 	instead lstat function 
view android 	already directory 
widget 	mkdir would fail 
image view 	could already 
android widget 	symlink something exists 
progress 	therefore unlink 
bar bumptech 	one time create 
glide glide 	directory use 
bumptech 	fstat path name 
glide load 	convert git 
engine disk 	format working format 
cache 	like lstat 
strategy xiecc 	refuses follow symlinks 
see weather 	path skipping 
xiecc 	skiplen write 
see weather 	contents working topath 
activity 	instead writing 
xiecc see 	working file named 
weather common 	temporary file 
log 	created function name 
xiecc see 	returned topath 
weather modules 	must able hold 
adatper 	least temporary 
city adapter 	filename length bytes 
xiecc see 	unlink old 
weather 	file one right 
modules manager 	permissions including 
xiecc see 	umask nasty emulate 
weather 	hand much 
modules weather 	easier system right 
xiecc 	thing gitlink 
see weather 	alone environment.c 
modules domain 	trust executable bit 
city 	trust ctime 
xiecc see 	check stat symlinks 
weather modules 	abbrev ignore 
domain 	unchanged prefer symlink 
province xiecc 	refs bare 
see weather 	repository cfg log 
modules 	updates warn 
domain setting 	ambiguous refs warn 
list list 	refname ambiguity 
concurrent 	paranoia repository format 
time unit 	version repository 
observable 	format precious objects 
observer subscriber 	git commit 
android schedulers 	encoding git log 
android 	output encoding 
schedulers functions 	shared repository apply 
func functions 	whitespace apply 
func 	ignorewhitespace git 
schedulers schedulers 	attributes file zlib 
android content 	compression level 
intent 	core compression level 
android bundle 	core compression 
android support 	seen fsync files 
design 	packed git 
widget collapsing 	window size packed 
toolbar 	git limit 
layout android 	delta cache limit 
support content 	big file 
context 	threshold pager program 
compat android 	pager use 
support widget 	color editor program 
content 	askpass program 
loading progress 	excludes file check 
bar android 	replace refs 
support 	git replace whitespace 
widget linear 	rule cfg 
layout manager 	notes name 
android 	grafts replace parents 
support widget 	core apply 
recycler 	sparse checkout merge 
view android 	log config 
support widget 	precomposed unicode startup 
toolbar 	info pack 
android log 	size limit cfg 
android view 	protect hfs 
key 	protect ntfs comment 
android view 	line comment 
view android 	line core preload 
widget 	index ignore 
image view 	untracked cache config 
android widget 	git work 
progress 	cfg work len 
bar bumptech 	git dir 
glide 	git common dir 
glide bumptech 	git dir 
glide load 	git index 
engine 	file git graft 
disk cache 	file git 
strategy xiecc 	env git index 
see 	env git 
weather xiecc 	graft env git 
see weather 	common dir 
activity 	env local repo 
xiecc see 	env raw 
weather common 	buf components envvar 
log 	git dir 
xiecc see 	path fromenv gitfile 
weather 	shallow file 
modules adatper 	replace namespaced git 
city adapter 	work initialized 
xiecc 	work limit pattern 
see weather 	mode name 
modules manager 	namesz sha path 
xiecc 	xstrdup strbuf 
see weather 	addstr strbuf 
modules weather 	split strbuf reset 
xiecc 	strcmp strbuf 
see weather 	addf strbuf list 
modules domain 	free check 
city 	refname format die 
xiecc see 	strbuf addch 
weather 	strbuf detach getenv 
modules domain 	xstrfmt xstrdup 
province xiecc 	getenv read gitfile 
see 	xstrdup common 
weather modules 	dir strbuf detach 
domain setting 	git path 
list 	env git path 
list concurrent 	env git 
time unit 	path env getenv 
observable 	getenv xstrdup 
observer subscriber 	expand getenv 
android schedulers 	strlen getenv alternate 
android 	shallow file 
schedulers functions 	git work setup 
func 	git env 
functions func 	setup git env 
schedulers schedulers 	starts git 
android 	real path strcmp 
content intent 	die xstrdup 
android bundle 	real path setup 
android 	git env 
support design 	snprintf directory git 
widget collapsing 	mkstemp mode 
toolbar 	snprintf directory safe 
layout android 	create leading 
support content 	directories xmkstemp mode 
context 	snprintf directory 
compat android 	sha hex open 
support 	safe create 
widget content 	leading directories 
loading progress 	open setup git 
bar 	env setup 
android support 	git env setenv 
widget linear 	error setup 
layout 	git env commit 
manager android 	output encoding 
support widget 	put git config 
recycler 	variables file 
view android 	programs link config 
support widget 	parser without 
toolbar 	link rest git 
android log 	particular need 
android 	bring libz etc 
view key 	unless needed 
android view 	even might want 
view 	know git 
android widget 	directory etc unspecified 
image view 	unspecified see 
android 	probe utf 
widget progress 	pathname composition character 
bar bumptech 	begins commented 
glide 	line user editable 
glide bumptech 	file subject 
glide load 	stripspace parallel index 
engine 	stat data 
disk cache 	preload hack test 
strategy 	programs like 
xiecc see 	test dump untracked 
weather xiecc 	cache ensure 
see 	modify untracked cache 
weather activity 	reading use 
xiecc see 	otherwise setup git 
weather 	dir gently 
common log 	git config repository 
xiecc see 	local git 
weather 	environment variables see 
modules adatper 	cache details 
city adapter 	core bare 
xiecc 	see work note 
see weather 	works used 
modules 	work added primarily 
manager xiecc 	support git 
see weather 	clone work repository 
modules 	created meant 
weather xiecc 	flip different work 
see weather 	trees umask 
modules 	job restrictive write 
domain city 	permission slow 
xiecc see 	path mkstemp implementations 
weather 	erase failure 
modules domain 	slow path ewah 
province xiecc 	bitmapc self 
see 	size rlw offset 
weather modules 	self self 
domain 	self number 
setting list 	added runlen self 
list concurrent 	number self 
time 	data current num 
unit observable 	self buffer 
observer subscriber 	number negate literals 
android 	self run 
schedulers android 	len self word 
schedulers functions 	self dist 
func 	self callback payload 
functions func 	pos pointer 
schedulers schedulers 	word len self 
android 	self self 
content intent 	word next parent 
android 	self pointer 
bundle android 	word literals ewah 
support design 	ewah rlw 
